name;source;target;kind
design0;prod01;attr02;incidence
design1;prod01;attr07;incidence
design2;prod02;attr01;incidence
design3;prod02;attr06;incidence
design4;prod02;attr07;incidence
design5;prod03;attr02;incidence
design6;prod03;attr10;incidence
design7;prod04;attr06;incidence
design8;prod04;attr08;incidence
design9;prod05;attr07;incidence
design10;prod05;attr10;incidence
design11;prod06;attr01;incidence
design12;prod06;attr04;incidence
design13;prod07;attr01;incidence
design14;prod07;attr08;incidence
design15;prod08;attr05;incidence
design16;prod08;attr09;incidence
design17;prod09;attr03;incidence
design18;prod09;attr05;incidence
design19;prod10;attr03;incidence
design20;prod10;attr05;incidence
design21;prod10;attr07;incidence
design22;prod11;attr04;incidence
design23;prod11;attr08;incidence
design24;prod12;attr03;incidence
design25;prod12;attr09;incidence
