id,label,id_label,color
1,CLA-EPd-CTX Car3 Glut,001 CLA-EPd-CTX Car3 Glut,#64c2fc
2,IT EP-CLA Glut,002 IT EP-CLA Glut,#1F665D
3,L5/6 IT TPE-ENT Glut,003 L5/6 IT TPE-ENT Glut,#C400FF
4,L6 IT CTX Glut,004 L6 IT CTX Glut,#C0FF4D
5,L5 IT CTX Glut,005 L5 IT CTX Glut,#660F38
6,L4/5 IT CTX Glut,006 L4/5 IT CTX Glut,#3DCCB7
7,L2/3 IT CTX Glut,007 L2/3 IT CTX Glut,#E9530F
8,L2/3 IT ENT Glut,008 L2/3 IT ENT Glut,#1F46CC
9,L2/3 IT PIR-ENTl Glut,009 L2/3 IT PIR-ENTl Glut,#940099
10,IT AON-TT-DP Glut,010 IT AON-TT-DP Glut,#FF004B
11,L2 IT ENT-po Glut,011 L2 IT ENT-po Glut,#00FFC4
12,MEA Slc17a7 Glut,012 MEA Slc17a7 Glut,#456C99
13,COAp Grxcr2 Glut,013 COAp Grxcr2 Glut,#61CC5C
14,LA-BLA-BMA-PA Glut,014 LA-BLA-BMA-PA Glut,#BBFF73
15,ENTmv-PA-COAp Glut,015 ENTmv-PA-COAp Glut,#B6CC7A
16,CA1-ProS Glut,016 CA1-ProS Glut,#0F3466
17,CA3 Glut,017 CA3 Glut,#C973FF
18,L2 IT PPP-APr Glut,018 L2 IT PPP-APr Glut,#0F6632
19,L2/3 IT PPP Glut,019 L2/3 IT PPP Glut,#925C99
20,L2/3 IT RSP Glut,020 L2/3 IT RSP Glut,#999145
21,L4 RSP-ACA Glut,021 L4 RSP-ACA Glut,#FFF226
22,L5 ET CTX Glut,022 L5 ET CTX Glut,#99A2FF
23,SUB-ProS Glut,023 SUB-ProS Glut,#FF9999
24,L5 PPP Glut,024 L5 PPP Glut,#6B995C
25,CA2-FC-IG Glut,025 CA2-FC-IG Glut,#FF7391
26,NLOT Rho Glut,026 NLOT Rho Glut,#FFD573
27,L6b EPd Glut,027 L6b EPd Glut,#CC827A
28,L6b/CT ENT Glut,028 L6b/CT ENT Glut,#CC0098
29,L6b CTX Glut,029 L6b CTX Glut,#9EFF99
30,L6 CT CTX Glut,030 L6 CT CTX Glut,#34661F
31,CT SUB Glut,031 CT SUB Glut,#440066
32,L5 NP CTX Glut,032 L5 NP CTX Glut,#7B7ACC
33,NP SUB Glut,033 NP SUB Glut,#99CAFF
34,NP PPP Glut,034 NP PPP Glut,#B8FF26
35,OB Eomes Ms4a15 Glut,035 OB Eomes Ms4a15 Glut,#7F1FCC
36,HPF CR Glut,036 HPF CR Glut,#919900
37,DG Glut,037 DG Glut,#CC2400
38,DG-PIR Ex IMN,038 DG-PIR Ex IMN,#3D53CC
39,OB Meis2 Thsd7b Gaba,039 OB Meis2 Thsd7b Gaba,#FF99F7
40,OB Trdn Gaba,040 OB Trdn Gaba,#684599
41,OB-in Frmd7 Gaba,041 OB-in Frmd7 Gaba,#FF0073
42,OB-out Frmd7 Gaba,042 OB-out Frmd7 Gaba,#CC6D3D
43,OB-mi Frmd7 Gaba,043 OB-mi Frmd7 Gaba,#FF99A7
44,OB Dopa-Gaba,044 OB Dopa-Gaba,#96CC7A
45,OB-STR-CTX Inh IMN,045 OB-STR-CTX Inh IMN,#819945
46,Vip Gaba,046 Vip Gaba,#663D47
47,Sncg Gaba,047 Sncg Gaba,#FFE999
48,RHP-COA Ndnf Gaba,048 RHP-COA Ndnf Gaba,#0003FF
49,Lamp5 Gaba,049 Lamp5 Gaba,#FF764D
50,Lamp5 Lhx6 Gaba,050 Lamp5 Lhx6 Gaba,#26FF3E
51,Pvalb chandelier Gaba,051 Pvalb chandelier Gaba,#2F992E
52,Pvalb Gaba,052 Pvalb Gaba,#661F3B
53,Sst Gaba,053 Sst Gaba,#99F2FF
54,STR Prox1 Lhx6 Gaba,054 STR Prox1 Lhx6 Gaba,#c60f3a
55,STR Lhx8 Gaba,055 STR Lhx8 Gaba,#CC3DC9
56,Sst Chodl Gaba,056 Sst Chodl Gaba,#EDA32D
57,NDB-SI-MA-STRv Lhx8 Gaba,057 NDB-SI-MA-STRv Lhx8 Gaba,#199900
58,PAL-STR Gaba-Chol,058 PAL-STR Gaba-Chol,#4DFFFA
59,GPe-SI Sox6 Cyp26b1 Gaba,059 GPe-SI Sox6 Cyp26b1 Gaba,#5CCC85
60,OT D3 Folh1 Gaba,060 OT D3 Folh1 Gaba,#66580F
61,STR D1 Gaba,061 STR D1 Gaba,#005B66
62,STR D2 Gaba,062 STR D2 Gaba,#FF7800
63,STR D1 Sema5a Gaba,063 STR D1 Sema5a Gaba,#663A2D
64,STR-PAL Chst9 Gaba,064 STR-PAL Chst9 Gaba,#967B09
65,IA Mgp Gaba,065 IA Mgp Gaba,#00995F
67,LSX Sall3 Pax6 Gaba,067 LSX Sall3 Pax6 Gaba,#006649
68,LSX Otx2 Gaba,068 LSX Otx2 Gaba,#229917
69,LSX Nkx2-1 Gaba,069 LSX Nkx2-1 Gaba,#CCA43D
