source;target;energy;information;location;spatial;reason
Fuik Bo;Opstelruimte Bo;0;0;0;1;De Fuik en de Opstelruimte zijn via hun definitie met elkaar verbonden. Wanneer de Fuik faalt, functioneert de Opstelruimte nog. Wanneer de Opstelruimte faalt, functioneert de Fuik nog.
Fuik Bo;Bodembescherming voorhaven Bo;0;0;1;0;Met deze interactie wordt aangegeven dat de Fuik van bodembescherming dient te worden voorzien. Wanneer de Fuik faalt, functioneert de Bodembescherming nog. Wanneer de Bodembescherming faalt, functioneert de Fuik nog.
Fuik Bo;Sluishoofd constructie Bo;0;0;0;2;De Fuik en de Sluishoofd constructie zijn doormiddel van hun definitie met elkaar verbonden. Wanneer de Fuik faalt, functioneert de Sluishoofdconstructie nog. Wanneer de Sluishoofd constructie faalt, kan de Fuik geen schepen meer naar de Kolk geleiden en functioneert daardoor niet meer.
Fuik Bo;Scheepsvaartvoorzieningen;0;0;1;0;De Scheepsvaartvoozieningen (zoals noodtrappen etc.) bevinden zich in de Fuik. De Scheepsvaartvoorzieningen zijn niet noodzakelijk voor het functioneren van de Fuik, maar wel voordelig. Wanneer de Fuik faalt, functioneren de Scheepsvaartvoorzieningen nog. Wanneer de Scheepsvaartvoorzieningen falen, functioneert de Fuik nog.
Fuik Bo;Schip;0;0;2;0;De orientatie tussen de Fuik en het Schip is van belang. Met deze interactie wordt dus aangegeven dat het Schip zich in de Fuik kan bevinden. Wanneer de Fuik faalt, kan het schip niet meer functioneren. Wanneer het Schip faalt, functioneert de Fuik nog.
Fuik Bo;Scheepsvaart tekens;0;0;1;0;De Scheepsvaarttekens bevinden zich in de Fuik om de Schippers van informatie te voorzien. De scheepsvaart tekens hebben op andere locaties nog wel een functie en functioneren daardoor nog gedeeltelijk. De Fuik functioneerd (in mindere mate) nog steeds wanneer de Scheepsvaarttekens falen.
Fuik Bo;Objectverlichting;0;0;1;0;De Objectverlichting zorgt dat de Fuik goed te zien is s'nachts waardoor het schutproces niet gehinderd wordt. Wanneer de Fuik faalt, functioneert de Objectverlichting nog op andere locaties. Wanneer de Objectverlichting faalt, functioneerd de Fuik nog (in mindere mate).
Opstelruimte Bo;Wachtruimte Bo;0;0;0;1;De Opstelruimte en Wachtruimte zijn vanwege hun definitie met elkaar verbonden. Wanneer de Opstelruimte faalt, kan de Wachtruimte nog functioneren.  Wanneer de Wachtruimte faalt, kan de opstelruimte nog functioneren.
Opstelruimte Bo;Bodembescherming voorhaven Bo;0;0;1;0;De Bodembescherming van zowel de Voorhaven als de van de Kolk moeten goed aansluiten op de onder- /achterloopheidsschermen om verzakking van het object te voorkomen. Wanneer de Opstelruimte faalt, functioneert de Bodembescherming voorhaven Bo nog in de Fuik en de Wachtruimte. Wanneer de Bodembescherming voorhaven Bo faalt, functioneert de Opstelruimte nog steeds.
Opstelruimte Bo;Oeverbescherming Bo;0;0;1;0;De Damwanden zijn doorgetrokken tot de Wachtruimte. Wanneer de Opstelruimte faalt, functioneert de Oeverbescherming Bo nog in de Fuik en de Wachtruimte. Wanneer de Oeverbescherming faalt, functioneert de Opstelruimte nog.
Opstelruimte Bo;Scheepsvaartvoorzieningen;0;0;1;0;In de Opstelruimte zijn ook Scheepsvaartvoorzieningen aanwezig. Wanneer de Opstelruimte faalt, hebben de Scheepsvaartvoorzieningen op andere locaties nog een functie. Wanneer de Scheepsvaartvoorzieningen falen, functioneert de Opstelruimte (in mindere mate) nog.
Opstelruimte Bo;Schip;0;0;2;0;De schepen dienen zich in de Opstelruimte te positioneren als voorbereiding op het schutproces. Als de Opstelruimte faalt, functioneert het Schip nog. Als het Schip faalt, dient de Opstelruimte geen functie meer.
