Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,,Controllers
thumb.01.R,mixamorig:RightHandThumb1,,,,
thumb.02.R,mixamorig:RightHandThumb2,,,,
thumb.03.R,mixamorig:RightHandThumb3,,,,
f_index.01.R,mixamorig:RightHandIndex1,,,,
f_index.02.R,mixamorig:RightHandIndex2,,,,
f_index.03.R,mixamorig:RightHandIndex3,,,,
f_middle.01.R,mixamorig:RightHandMiddle1,,,,
f_middle.02.R,mixamorig:RightHandMiddle2,,,,
f_middle.03.R,mixamorig:RightHandMiddle3,,,,
f_ring.01.R,mixamorig:RightHandRing1,,,,
f_ring.02.R,mixamorig:RightHandRing2,,,,
f_ring.03.R,mixamorig:RightHandRing3,,,,
f_pinky.01.R,mixamorig:RightHandPinky1,,,,
f_pinky.02.R,mixamorig:RightHandPinky2,,,,
f_pinky.03.R,mixamorig:RightHandPinky3,,,,
thumb.01.L,mixamorig:LeftHandThumb1,,,,
thumb.02.L,mixamorig:LeftHandThumb2,,,,
thumb.03.L,mixamorig:LeftHandThumb3,,,,
f_index.01.L,mixamorig:LeftHandIndex1,,,,
f_index.02.L,mixamorig:LeftHandIndex2,,,,
f_index.03.L,mixamorig:LeftHandIndex3,,,,
f_middle.01.L,mixamorig:LeftHandMiddle1,,,,
f_middle.02.L,mixamorig:LeftHandMiddle2,,,,
f_middle.03.L,mixamorig:LeftHandMiddle3,,,,
f_ring.01.L,mixamorig:LeftHandRing1,,,,
f_ring.02.L,mixamorig:LeftHandRing2,,,,
f_ring.03.L,mixamorig:LeftHandRing3,,,,
f_pinky.01.L,mixamorig:LeftHandPinky1,,,,
f_pinky.02.L,mixamorig:LeftHandPinky2,,,,
f_pinky.03.L,mixamorig:LeftHandPinky3,,,,
