id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_equipment_request_type_configurator,equipment_request_type - configurator,model_equipment_request_type,equipment_request_type_group,1,1,1,1
access_equipment_request_type_all,equipment_request_type - all,model_equipment_request_type,,1,0,0,0
access_equipment_request_operation_configurator,equipment_request_operation - configurator,model_equipment_request_operation,equipment_request_operation_group,1,1,1,1
access_equipment_request_operation_all,equipment_request_operation - all,model_equipment_request_operation,,1,0,0,0
access_equipment_request_policy_field_configurator,equipment_request_policy_field - configurator,model_equipment_request_policy_field,equipment_request_policy_field_group,1,1,1,1
access_equipment_request_policy_field_all,equipment_request_policy_field - all,model_equipment_request_policy_field,,1,0,0,0
access_equipment_request_policy_configurator,equipment_request_policy - configurator,model_equipment_request_policy,equipment_request_policy_group,1,1,1,1
access_equipment_request_policy_all,equipment_request_policy - all,model_equipment_request_policy,,1,0,0,0
access_equipment_request_policy_rule_configurator,equipment_request_policy_rule - configurator,model_equipment_request_policy_rule,equipment_request_policy_group,1,1,1,1
access_equipment_request_policy_rule_all,equipment_request_policy_rule - all,model_equipment_request_policy_rule,,1,0,0,0
access_equipment_request_all,equipment_request - all,model_equipment_request,,1,0,0,0
access_equipment_request_viewer,equipment_request - viewer,model_equipment_request,equipment_request_viewer_group,1,0,0,0
access_equipment_request_user,equipment_request - user,model_equipment_request,equipment_request_user_group,1,1,1,1
access_equipment_request_line_all,equipment_request_line - all,model_equipment_request_line,,1,0,0,0
access_equipment_request_line_viewer,equipment_request_line - viewer,model_equipment_request_line,equipment_request_viewer_group,1,0,0,0
access_equipment_request_line_user,equipment_request_line - user,model_equipment_request_line,equipment_request_user_group,1,1,1,1
access_employee_equipment_request_route_all,employee.equipment_request_route - all,model_employee_equipment_request_route,,1,1,1,1
