name;source;target;kind
design0;comp01;attr02;incidence
design1;comp01;attr07;incidence
design2;comp02;attr01;incidence
design3;comp02;attr06;incidence
design4;comp02;attr07;incidence
design5;comp03;attr02;incidence
design6;comp03;attr10;incidence
design7;comp04;attr06;incidence
design8;comp04;attr08;incidence
design9;comp05;attr07;incidence
design10;comp05;attr10;incidence
design11;comp06;attr01;incidence
design12;comp06;attr04;incidence
design13;comp07;attr01;incidence
design14;comp07;attr08;incidence
design15;comp08;attr05;incidence
design16;comp08;attr09;incidence
design17;comp09;attr03;incidence
design18;comp09;attr05;incidence
design19;comp10;attr03;incidence
design20;comp10;attr05;incidence
design21;comp10;attr07;incidence
design22;comp11;attr04;incidence
design23;comp11;attr08;incidence
design24;comp12;attr03;incidence
design25;comp12;attr09;incidence
