ID,EBLM Name,MassP,MassS,MRat,RP,RS,RRat,bjd0,period,e,omega,esinω,ecosω,i,tPE,tSE,sep,pwidth,swidth,pdepth,sdepth,b,z,frat,REFERENCES IF USED,Notes
260128333,J0608-59,1.2,0.325,0.270833333,1.25,,,1585.166674,14.60858282,0.155522,2.05549,0.137608621,-0.072463507,89.658,,,0.453868299,0.023590441,0.017815235,,,0.147692965,,,https://www.nature.com/articles/s41550-023-01948-4 ,
180871989,J0104-38,1.38,0.274,0.198550725,1.38,,,827.93,8.256058,0.00285,-1.95477,-0.002642473,-0.001067632,,824.3094,828.4318,0.499318198,,,,,,,,EBLM IV,
422844353,J0228+05,1.53,0.18,0.117647059,1.46,,,1786.0418,6.634727,0.0013,,,,,1787.7005,1784.3832,0.499990429,,,,,,,,EBLM IV,
89045042,J0310-31,1.26,0.408,0.323809524,1.29,,,1670.3636,12.642818,0.308466,-3.040625356,-0.031092088,-0.306895023,,1668.2438,1672.1333,0.30764502,,,,,,,,EBLM IV,
279454212,J0353-16,1.17,0.222,0.18974359,,,,,11.761212,0.00524,0.7138397,0.003430842,0.003960672,,,,,,,,,,,,EBLM IV,
153741139,J0425-46,1.19,0.627,0.526890756,,,,,16.587865,0.04772,0.28187067,0.01327346,0.045836815,,,,,,,,,,,,EBLM IV,
170749770,J0432-33,1.32,0.26,0.196969697,,,,,5.305486,0.0031,,,,,,,,,,,,,,,EBLM IV,
161577376,J0500-46,1.19,0.182,0.152941177,,,,,8.28437,0.2346,-0.1436406,-0.033582324,0.232183952,,,,,,,,,,,,EBLM IV,
382188882,J0525-55,1.31,0.27,0.20610687,,,,,4.800097,0.0059,,,,,,,,,,,,,,,EBLM IV,
24397947,J0526-34,1.35,0.338,0.25037037,,,,701.7735,10.1909001,0.12609,-2.85850025,-0.035220252,-0.121071144,,701.7735,697.4621,0.42306371,,,,,,,,EBLM IV, Timing of the primary used for bjd0
255548311,J0621-50,1.23,0.42,0.341463415,1.27,,,837.7555,4.9638415,0.0026,,,,,838.9965,836.5145,0.500015966,,,,,,,,EBLM IV,
49701947,J0623-27,1.18,0.308,0.261016949,1.18,,,2042.051,5.777931,0.0571,0.59236475,0.031880325,0.047371456,,2042.8657,2040.1509,0.469856771,,,,,,,,EBLM IV,
167201539,J0627-67,1.34,0.229,0.170895522,1.35,,,771.8274,9.468894,0.15879,1.4760249,0.158077438,0.015026238,,771.9299,767.2872,0.490310695,,,,,,,,EBLM IV,
173038281,J0649-27,1.45,0.371,0.255862069,1.42,,,802.73526,4.3080484,0.0023,,,,,803.8123,801.6583,0.499994383,,,,,,,,EBLM IV,
25776767,J0941-31,1.19,0.218,0.183193277,1.745,0.2365,0.135530086,340.5756,5.545628,0.2006,0.08761553,0.017553197,0.199830541,,,,,,,,,,,,EBLM IV,
35655828,J0954-45,1.69,0.412,0.243786982,1.63,,,741.3379,8.0726432,0.29592,1.1042698,0.264296804,0.133100887,,741.6541,738.3248,0.412417583,,,,,,,,EBLM IV,
167983141,J1008-29,1.71,0.368,0.215204678,1.63,,,1861.9884,10.400866,0.0016,,,,,1864.5846,1859.3842,0.499996827,,,,,,,,EBLM IV,
187930369,J1037-25,1.26,0.26,0.206349206,1.29,,,767.0382,4.9365623,0.12075,-1.2927654,-0.116112927,0.033141374,,769.231,766.8676,0.478754213,,,,,,,,EBLM IV,
454013359,J1141-37,1.22,0.354,0.290163934,1.27,,,907.49336,5.1476797,0.0017,,,,,908.7803,906.2064,0.500011685,,,,,,,,EBLM IV,
165493409,J1201-36,1.19,0.101,0.08487395,1.21,,,1595.8848,9.113113,0.1535,-2.76512513,-0.056432383,-0.142750258,,1593.4912,1597.2211,0.409289339,,,,,,,,EBLM IV,
135050395,J1219-39,0.95,0.1,0.105263158,0.89,,,740.859,6.7599941,0.05594,0.3647738,0.019955923,0.052259399,87.61,742.0458,738.8906,0.46674597,,,,,,,,EBLM IV,
124095230,J1205-31,1.1,0.287,0.260909091,1.493,0.2982,0.199732083,,10.619149,0.03694,-2.6912977,-0.016077437,-0.033257775,,,,,,,,,,,,EBLM IV,
148905216,J1525-36,1.17,0.207,0.176923077,,,,506.4452,9.008921,0.0027,,,,,508.6974,504.193,0.499993284,,,,,,,,EBLM IV,
469755925,J1928-38,0.98,0.268,0.273469388,1.364,0.2692,0.197360704,1789.254,23.3227,0.0737,2.39424267,0.050093697,-0.054058408,,1786.5841,1797.4422,0.465559305,,,,,,,,EBLM IV,"Only one primary eclipse in all of the data, meaning that the period validation registers 1 dip and 1 dip"
143291764,J1934-42,0.97,0.178,0.183505155,0.995912807,0.2193,0.2202,1659.7836,6.352376,0.0046,,,,89.3,1887.4302,1884.254,0.500001889,,,,,,,,EBLM IV,
