name;kind;labels;parent;children;is_bus;default
Radiator;node;default;;;False;1
Engine Fan;node;default;;;False;1
Heater Core;node;default;;;False;1
Heater Hoses;node;default;;;False;1
Condenser;node;default;;;False;1
Compressor;node;default;;;False;1
Evaporator Case;node;default;;;False;1
Evaporator Core;node;default;;;False;1
Accumulator;node;default;;;False;1
Refrigeration Controls;node;default;;;False;1
Air Controls;node;default;;;False;1
Sensors;node;default;;;False;1
Command Distribution;node;default;;;False;1
Actuators;node;default;;;False;1
Blower Controller;node;default;;;False;1
Blower Motor;node;default;;;False;1
