name;source;target;adjacency
ae0;Fan Containment Case;Fan Exit Guide Vanes & Cases;2
ae1;Fan Containment Case;Shroudless Fan Blades;2
ae2;Fan Containment Case;External Tubes;1
ae3;Fan Containment Case;Externals/Controls Air System;1
ae4;Fan Containment Case;Harness;2
ae5;Fan Containment Case;Controls - Electrical;2
ae6;Fan Containment Case;Rotordynamics;2
ae7;Fan Containment Case;Engine Static Structures;2
ae8;Fan Exit Guide Vanes & Cases;Fan Containment Case;2
ae9;Fan Exit Guide Vanes & Cases;Shroudless Fan Blades;2
ae10;Fan Exit Guide Vanes & Cases;LPC Airfoils;1
ae11;Fan Exit Guide Vanes & Cases;LPC Stator;1
ae12;Fan Exit Guide Vanes & Cases;LPC Splitter;2
ae13;Fan Exit Guide Vanes & Cases;LPC Liner;2
ae14;Fan Exit Guide Vanes & Cases;Mech. Comp'ts - Oil System;2
ae15;Fan Exit Guide Vanes & Cases;External Tubes;1
ae16;Fan Exit Guide Vanes & Cases;2.5 Bleed Butterfly;2
ae17;Fan Exit Guide Vanes & Cases;Externals/Controls Air System;1
ae18;Fan Exit Guide Vanes & Cases;Externals/Controls Oil System;1
ae19;Fan Exit Guide Vanes & Cases;Harness;1
ae20;Fan Exit Guide Vanes & Cases;Controls - Electrical;1
ae21;Fan Exit Guide Vanes & Cases;Rotordynamics;2
ae22;Fan Exit Guide Vanes & Cases;Engine Static Structures;2
ae23;Shroudless Fan Blades;Fan Containment Case;2
ae24;Shroudless Fan Blades;Fan Exit Guide Vanes & Cases;2
ae25;Shroudless Fan Blades;Fan Hubs;2
ae26;Shroudless Fan Blades;Fan Stub Shafts;2
ae27;Shroudless Fan Blades;Spinners & Nose Caps;2
ae28;Shroudless Fan Blades;Fan Blade Platforms;2
ae29;Shroudless Fan Blades;LPC Airfoils;1
ae30;Shroudless Fan Blades;LPC Stator;1
ae31;Shroudless Fan Blades;LPC Splitter;1
ae32;Shroudless Fan Blades;Rotordynamics;2
ae33;Shroudless Fan Blades;Engine Static Structures;1
ae34;Fan Hubs;Shroudless Fan Blades;2
ae35;Fan Hubs;Fan Stub Shafts;2
ae36;Fan Hubs;Spinners & Nose Caps;2
ae37;Fan Hubs;Fan Blade Platforms;2
ae38;Fan Hubs;LPC Airfoils;1
ae39;Fan Hubs;LPC Stator;1
ae40;Fan Hubs;LPC Drum;1
ae41;Fan Hubs;Mainshaft IPT;2
ae42;Fan Hubs;Rotordynamics;2
ae43;Fan Hubs;Engine Static Structures;1
ae44;Fan Stub Shafts;Shroudless Fan Blades;2
ae45;Fan Stub Shafts;Fan Hubs;2
ae46;Fan Stub Shafts;Intermediate Case;2
ae47;Fan Stub Shafts;LP Shafts;2
ae48;Fan Stub Shafts;Mainshaft IPT;2
ae49;Fan Stub Shafts;Controls - Sensor;2
ae50;Fan Stub Shafts;Rotordynamics;2
ae51;Fan Stub Shafts;Engine Static Structures;1
ae52;Spinners & Nose Caps;Shroudless Fan Blades;2
ae53;Spinners & Nose Caps;Fan Hubs;2
ae54;Spinners & Nose Caps;Fan Blade Platforms;2
ae55;Spinners & Nose Caps;Secondary Flow;2
ae56;Spinners & Nose Caps;Rotordynamics;2
ae57;Spinners & Nose Caps;Engine Static Structures;1
ae58;Fan Blade Platforms;Shroudless Fan Blades;2
ae59;Fan Blade Platforms;Fan Hubs;2
ae60;Fan Blade Platforms;Spinners & Nose Caps;2
ae61;Fan Blade Platforms;LPC Airfoils;2
ae62;Fan Blade Platforms;LPC Stator;2
ae63;Fan Blade Platforms;Rotordynamics;2
ae64;Fan Blade Platforms;Engine Static Structures;1
ae65;LPC Airfoils;Shroudless Fan Blades;2
