name;source;target;kind
amix0;a;c.1.1;incidence
amix1;a;c.2.1;incidence
amix2;a;c.2.2;incidence
amix3;a;c.3.1;incidence
amix4;a;c.3.2;incidence
amix5;b;c.1.1;incidence
amix6;b;c.2.1;incidence
amix7;b;c.2.2;incidence
amix8;b;c.3.1;incidence
amix9;b;c.3.2;incidence
amix10;c;c.1.1;incidence
amix11;c;c.2.1;incidence
amix12;c;c.2.2;incidence
amix13;c;c.3.3;incidence
amix14;c;c.3.4;incidence
amix15;d;c.1.1;incidence
amix16;d;c.2.1;incidence
amix17;d;c.2.2;incidence
amix18;d;c.3.3;incidence
amix19;d;c.3.4;incidence
amix20;e;c.1.1;incidence
amix21;e;c.2.1;incidence
amix22;e;c.2.2;incidence
amix23;e;c.3.3;incidence
amix24;e;c.3.4;incidence
amix25;f;c.1.2;incidence
amix26;f;c.2.3;incidence
amix27;f;c.2.4;incidence
amix28;f;c.3.1;incidence
amix29;f;c.3.2;incidence
amix30;g;c.1.2;incidence
amix31;g;c.2.3;incidence
amix32;g;c.2.4;incidence
amix33;g;c.3.1;incidence
amix34;g;c.3.2;incidence
amix35;h;c.1.2;incidence
amix36;h;c.2.3;incidence
amix37;h;c.2.4;incidence
amix38;h;c.3.3;incidence
amix39;h;c.3.4;incidence
amix40;i;c.1.2;incidence
amix41;i;c.2.3;incidence
amix42;i;c.2.4;incidence
amix43;i;c.3.3;incidence
amix44;i;c.3.4;incidence
amix45;j;c.1.2;incidence
amix46;j;c.2.1;incidence
amix47;j;c.2.2;incidence
amix48;j;c.3.1;incidence
amix49;j;c.3.2;incidence
amix50;k;c.1.3;incidence
amix51;k;c.2.1;incidence
amix52;k;c.2.2;incidence
amix53;k;c.3.1;incidence
amix54;k;c.3.2;incidence
amix55;l;c.1.3;incidence
amix56;l;c.2.1;incidence
amix57;l;c.2.2;incidence
amix58;l;c.3.3;incidence
amix59;l;c.3.4;incidence
amix60;m;c.1.3;incidence
amix61;m;c.2.1;incidence
amix62;m;c.2.2;incidence
amix63;m;c.3.3;incidence
amix64;m;c.3.4;incidence
amix65;n;c.1.3;incidence
amix66;n;c.2.1;incidence
amix67;n;c.2.2;incidence
amix68;n;c.3.3;incidence
amix69;n;c.3.4;incidence
amix70;o;c.1.3;incidence
amix71;o;c.2.3;incidence
amix72;o;c.2.4;incidence
amix73;o;c.3.1;incidence
amix74;o;c.3.2;incidence
amix75;p;c.1.4;incidence
amix76;p;c.2.3;incidence
amix77;p;c.2.4;incidence
amix78;p;c.3.1;incidence
amix79;p;c.3.2;incidence
amix80;q;c.1.4;incidence
amix81;q;c.2.3;incidence
amix82;q;c.2.4;incidence
amix83;q;c.3.3;incidence
amix84;q;c.3.4;incidence
amix85;r;c.1.4;incidence
amix86;r;c.2.3;incidence
amix87;r;c.2.4;incidence
amix88;r;c.3.3;incidence
amix89;r;c.3.4;incidence
