source;target;name;kind
B1;A1;B1->A1;compatibility
B2;A1;B2->A1;compatibility
C2;A1;C2->A1;compatibility
C3;A1;C3->A1;compatibility
A1;B1;A1->B1;compatibility
C1;B1;C1->B1;compatibility
C2;B1;C2->B1;compatibility
C3;B1;C3->B1;compatibility
A1;B2;A1->B2;compatibility
C1;B2;C1->B2;compatibility
C2;B2;C2->B2;compatibility
C3;B2;C3->B2;compatibility
B1;C1;B1->C1;compatibility
B2;C1;B2->C1;compatibility
A1;C2;A1->C2;compatibility
B1;C2;B1->C2;compatibility
B2;C2;B2->C2;compatibility
A1;C3;A1->C3;compatibility
B1;C3;B1->C3;compatibility
B2;C3;B2->C3;compatibility
