name;kind;labels;parent;children;is_bus;default;default_annotation
Radiator;node;default;node.node0;;False;1;1
node.node0;node;default;node.node4;"Radiator;Engine Fan;Condenser";False;1;1
node.node4;node;default;node.node3;"Actuators;Blower Controller;node.node0;node.node1;node.node2;node.node6";False;1;1
node.node3;node;default;;"Sensors;node.node4;node.node5";False;1;1
Sensors;node;default;node.node3;;False;1;1
node.node5;node;default;node.node3;"Compressor;Air Controls;Command Distribution";True;1;1
Compressor;node;default;node.node5;;False;1;1
Air Controls;node;default;node.node5;;False;1;1
Command Distribution;node;default;node.node5;;False;1;1
Actuators;node;default;node.node4;;False;1;1
Blower Controller;node;default;node.node4;;False;1;1
node.node1;node;default;node.node4;"Heater Core;Heater Hoses";False;1;1
Heater Core;node;default;node.node1;;False;1;1
Heater Hoses;node;default;node.node1;;False;1;1
node.node2;node;default;node.node4;"Accumulator;Refrigeration Controls";False;1;1
Accumulator;node;default;node.node2;;False;1;1
Refrigeration Controls;node;default;node.node2;;False;1;1
node.node6;node;default;node.node4;"Evaporator Case;Evaporator Core;Blower Motor";True;1;1
Evaporator Case;node;default;node.node6;;False;1;1
Evaporator Core;node;default;node.node6;;False;1;1
Blower Motor;node;default;node.node6;;False;1;1
Engine Fan;node;default;node.node0;;True;1;1
Condenser;node;default;node.node0;;False;1;1
