source;target;name;kind;labels;adjacency;energy flow;information flow;material flow;spatial
Radiator;Engine Fan;cc0;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Radiator;Condenser;cc1;edge;spatial;0.0;-2.0;0.0;0.0;2.0
Engine Fan;Radiator;cc2;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Engine Fan;Condenser;cc3;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Engine Fan;Command Distribution;cc4;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Heater Core;Heater Hoses;cc5;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Heater Core;Evaporator Case;cc6;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Heater Core;Evaporator Core;cc7;edge;default;0.0;0.0;0.0;0.0;-1.0
Heater Core;Blower Motor;cc8;edge;"adjacency;material flow";2.0;0.0;0.0;2.0;0.0
Heater Hoses;Heater Core;cc9;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Heater Hoses;Accumulator;cc10;edge;default;0.0;0.0;0.0;0.0;-1.0
Condenser;Radiator;cc11;edge;spatial;0.0;-2.0;0.0;0.0;2.0
Condenser;Engine Fan;cc12;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Condenser;Compressor;cc13;edge;"adjacency;energy flow;material flow";4.0;2.0;0.0;2.0;0.0
Condenser;Evaporator Core;cc14;edge;"adjacency;energy flow;material flow";2.0;2.0;0.0;2.0;-2.0
Compressor;Condenser;cc15;edge;"adjacency;energy flow;material flow";4.0;2.0;0.0;2.0;0.0
Compressor;Evaporator Core;cc16;edge;"adjacency;energy flow;material flow";4.0;2.0;0.0;2.0;0.0
Compressor;Accumulator;cc17;edge;"adjacency;material flow;spatial";3.0;0.0;0.0;2.0;1.0
Compressor;Refrigeration Controls;cc18;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Compressor;Air Controls;cc19;edge;"adjacency;information flow";2.0;0.0;2.0;0.0;0.0
Compressor;Command Distribution;cc20;edge;"adjacency;spatial";1.0;0.0;0.0;0.0;1.0
Evaporator Case;Heater Core;cc21;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Evaporator Case;Evaporator Core;cc22;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Evaporator Case;Actuators;cc23;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Evaporator Case;Blower Controller;cc24;edge;"adjacency;spatial";2.0;0.0;0.0;0.0;2.0
Evaporator Case;Blower Motor;cc25;edge;"adjacency;material flow;spatial";4.0;0.0;0.0;2.0;2.0
Evaporator Core;Heater Core;cc26;edge;default;0.0;0.0;0.0;0.0;-1.0
Evaporator Core;Condenser;cc27;edge;"adjacency;energy flow;material flow";2.0;2.0;0.0;2.0;-2.0
