name;source;target;kind
amod0;a;c.1.1;incidence
amod1;a;c.1.2;incidence
amod2;a;c.2.1;incidence
amod3;a;c.2.2;incidence
amod4;a;c.3.1;incidence
amod5;a;c.3.2;incidence
amod6;b;c.1.1;incidence
amod7;b;c.1.2;incidence
amod8;b;c.2.1;incidence
amod9;b;c.2.2;incidence
amod10;b;c.3.1;incidence
amod11;b;c.3.2;incidence
amod12;c;c.1.1;incidence
amod13;c;c.1.2;incidence
amod14;c;c.2.1;incidence
amod15;c;c.2.2;incidence
amod16;c;c.3.3;incidence
amod17;c;c.3.4;incidence
amod18;d;c.1.1;incidence
amod19;d;c.1.2;incidence
amod20;d;c.2.1;incidence
amod21;d;c.2.2;incidence
amod22;d;c.3.3;incidence
amod23;d;c.3.4;incidence
amod24;e;c.1.1;incidence
amod25;e;c.1.2;incidence
amod26;e;c.2.1;incidence
amod27;e;c.2.2;incidence
amod28;e;c.3.3;incidence
amod29;e;c.3.4;incidence
amod30;f;c.1.1;incidence
amod31;f;c.1.2;incidence
amod32;f;c.2.3;incidence
amod33;f;c.2.4;incidence
amod34;f;c.3.1;incidence
amod35;f;c.3.2;incidence
amod36;g;c.1.1;incidence
amod37;g;c.1.2;incidence
amod38;g;c.2.3;incidence
amod39;g;c.2.4;incidence
amod40;g;c.3.1;incidence
amod41;g;c.3.2;incidence
amod42;h;c.1.1;incidence
amod43;h;c.1.2;incidence
amod44;h;c.2.3;incidence
amod45;h;c.2.4;incidence
amod46;h;c.3.3;incidence
amod47;h;c.3.4;incidence
amod48;i;c.1.1;incidence
amod49;i;c.1.2;incidence
amod50;i;c.2.3;incidence
amod51;i;c.2.4;incidence
amod52;i;c.3.3;incidence
amod53;i;c.3.4;incidence
amod54;j;c.1.3;incidence
amod55;j;c.1.4;incidence
amod56;j;c.2.1;incidence
amod57;j;c.2.2;incidence
amod58;j;c.3.1;incidence
amod59;j;c.3.2;incidence
amod60;k;c.1.3;incidence
amod61;k;c.1.4;incidence
amod62;k;c.2.1;incidence
amod63;k;c.2.2;incidence
amod64;k;c.3.1;incidence
amod65;k;c.3.2;incidence
amod66;l;c.1.3;incidence
amod67;l;c.1.4;incidence
amod68;l;c.2.1;incidence
amod69;l;c.2.2;incidence
amod70;l;c.3.3;incidence
amod71;l;c.3.4;incidence
amod72;m;c.1.3;incidence
amod73;m;c.1.4;incidence
amod74;m;c.2.1;incidence
amod75;m;c.2.2;incidence
amod76;m;c.3.3;incidence
amod77;m;c.3.4;incidence
amod78;n;c.1.3;incidence
amod79;n;c.1.4;incidence
amod80;n;c.2.1;incidence
amod81;n;c.2.2;incidence
amod82;n;c.3.3;incidence
amod83;n;c.3.4;incidence
amod84;o;c.1.3;incidence
amod85;o;c.1.4;incidence
amod86;o;c.2.3;incidence
amod87;o;c.2.4;incidence
amod88;o;c.3.1;incidence
amod89;o;c.3.2;incidence
amod90;p;c.1.3;incidence
amod91;p;c.1.4;incidence
amod92;p;c.2.3;incidence
amod93;p;c.2.4;incidence
amod94;p;c.3.1;incidence
amod95;p;c.3.2;incidence
amod96;q;c.1.3;incidence
amod97;q;c.1.4;incidence
amod98;q;c.2.3;incidence
amod99;q;c.2.4;incidence
amod100;q;c.3.3;incidence
amod101;q;c.3.4;incidence
amod102;r;c.1.3;incidence
amod103;r;c.1.4;incidence
amod104;r;c.2.3;incidence
amod105;r;c.2.4;incidence
amod106;r;c.3.3;incidence
amod107;r;c.3.4;incidence
