acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
root,1,0,997,root,[997],[691663206],"[255, 255, 255]"
grey,1,1,8,Basic cell groups and regions,"[997, 8]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[191, 218, 227]"
CH,1,2,567,Cerebrum,"[997, 8, 567]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[176, 240, 255]"
CTX,1,3,688,Cerebral cortex,"[997, 8, 567, 688]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[176, 255, 184]"
CTXpl,1,4,695,Cortical plate,"[997, 8, 567, 688, 695]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[112, 255, 112]"
Isocortex,1,5,315,Isocortex,"[997, 8, 567, 688, 695, 315]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[112, 255, 113]"
FRP,1,6,184,"Frontal pole, cerebral cortex","[997, 8, 567, 688, 695, 315, 184]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891]","[38, 143, 69]"
FRP1,1,7,68,"Frontal pole, layer 1","[997, 8, 567, 688, 695, 315, 184, 68]","[667481440, 184527634, 12, 691663206]","[38, 143, 69]"
FRP2/3,1,8,667,"Frontal pole, layer 2/3","[997, 8, 567, 688, 695, 315, 184, 667]","[667481441, 184527634, 12, 691663206]","[38, 143, 69]"
FRP5,1,9,526157192,"Frontal pole, layer 5","[997, 8, 567, 688, 695, 315, 184, 526157192]","[184527634, 667481446, 691663206]","[38, 143, 69]"
FRP6a,1,10,526157196,"Frontal pole, layer 6a","[997, 8, 567, 688, 695, 315, 184, 526157196]","[667481449, 184527634, 691663206]","[38, 143, 69]"
FRP6b,1,11,526322264,"Frontal pole, layer 6b","[997, 8, 567, 688, 695, 315, 184, 526322264]","[667481450, 184527634, 691663206]","[38, 143, 69]"
MO,1,12,500,Somatomotor areas,"[997, 8, 567, 688, 695, 315, 500]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[31, 157, 90]"
MOp,1,18,985,Primary motor area,"[997, 8, 567, 688, 695, 315, 500, 985]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891, 114512892]","[31, 157, 90]"
MOp1,1,19,320,"Primary motor area, Layer 1","[997, 8, 567, 688, 695, 315, 500, 985, 320]","[667481440, 184527634, 12, 691663206]","[31, 157, 90]"
MOp2/3,1,20,943,"Primary motor area, Layer 2/3","[997, 8, 567, 688, 695, 315, 500, 985, 943]","[667481441, 184527634, 12, 691663206]","[31, 157, 90]"
MOp5,1,21,648,"Primary motor area, Layer 5","[997, 8, 567, 688, 695, 315, 500, 985, 648]","[184527634, 12, 667481446, 691663206]","[31, 157, 90]"
MOp6a,1,22,844,"Primary motor area, Layer 6a","[997, 8, 567, 688, 695, 315, 500, 985, 844]","[667481449, 184527634, 12, 691663206]","[31, 157, 90]"
MOp6b,1,23,882,"Primary motor area, Layer 6b","[997, 8, 567, 688, 695, 315, 500, 985, 882]","[667481450, 184527634, 12, 691663206]","[31, 157, 90]"
MOs,1,24,993,Secondary motor area,"[997, 8, 567, 688, 695, 315, 500, 993]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[31, 157, 90]"
MOs1,1,25,656,"Secondary motor area, layer 1","[997, 8, 567, 688, 695, 315, 500, 993, 656]","[667481440, 184527634, 12, 691663206]","[31, 157, 90]"
MOs2/3,1,26,962,"Secondary motor area, layer 2/3","[997, 8, 567, 688, 695, 315, 500, 993, 962]","[667481441, 184527634, 12, 691663206]","[31, 157, 90]"
MOs5,1,27,767,"Secondary motor area, layer 5","[997, 8, 567, 688, 695, 315, 500, 993, 767]","[184527634, 12, 667481446, 691663206]","[31, 157, 90]"
MOs6a,1,28,1021,"Secondary motor area, layer 6a","[997, 8, 567, 688, 695, 315, 500, 993, 1021]","[667481449, 184527634, 12, 691663206]","[31, 157, 90]"
MOs6b,1,29,1085,"Secondary motor area, layer 6b","[997, 8, 567, 688, 695, 315, 500, 993, 1085]","[184527634, 12, 667481450, 691663206]","[31, 157, 90]"
SS,1,30,453,Somatosensory areas,"[997, 8, 567, 688, 695, 315, 453]","[3, 112905828, 691663206, 10, 12, 184527634, 112905813, 114512891, 114512892]","[24, 128, 100]"
SSp,1,37,322,Primary somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 322]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[24, 128, 100]"
SSp-n,1,44,353,"Primary somatosensory area, nose","[997, 8, 567, 688, 695, 315, 453, 322, 353]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
SSp-n1,1,45,558,"Primary somatosensory area, nose, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 353, 558]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-n2/3,1,46,838,"Primary somatosensory area, nose, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 353, 838]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-n4,1,47,654,"Primary somatosensory area, nose, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 353, 654]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-n5,1,48,702,"Primary somatosensory area, nose, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 353, 702]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSp-n6a,1,49,889,"Primary somatosensory area, nose, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 353, 889]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-n6b,1,50,929,"Primary somatosensory area, nose, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 353, 929]","[184527634, 12, 667481450, 691663206]","[24, 128, 100]"
SSp-bfd,1,51,329,"Primary somatosensory area, barrel field","[997, 8, 567, 688, 695, 315, 453, 322, 329]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[24, 128, 100]"
SSp-bfd1,1,52,981,"Primary somatosensory area, barrel field, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 329, 981]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-bfd2/3,1,53,201,"Primary somatosensory area, barrel field, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 329, 201]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-bfd4,1,54,1047,"Primary somatosensory area, barrel field, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1047]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-bfd5,1,55,1070,"Primary somatosensory area, barrel field, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1070]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSp-bfd6a,1,56,1038,"Primary somatosensory area, barrel field, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1038]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-bfd6b,1,57,1062,"Primary somatosensory area, barrel field, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 329, 1062]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ll,1,65,337,"Primary somatosensory area, lower limb","[997, 8, 567, 688, 695, 315, 453, 322, 337]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
SSp-ll1,1,66,1030,"Primary somatosensory area, lower limb, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1030]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ll2/3,1,67,113,"Primary somatosensory area, lower limb, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 337, 113]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ll4,1,68,1094,"Primary somatosensory area, lower limb, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1094]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-ll5,1,69,1128,"Primary somatosensory area, lower limb, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 337, 1128]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSp-ll6a,1,70,478,"Primary somatosensory area, lower limb, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 337, 478]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ll6b,1,71,510,"Primary somatosensory area, lower limb, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 337, 510]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-m,1,72,345,"Primary somatosensory area, mouth","[997, 8, 567, 688, 695, 315, 453, 322, 345]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
SSp-m1,1,73,878,"Primary somatosensory area, mouth, layer 1","[997, 8, 567, 688, 695, 315, 453, 322, 345, 878]","[667481440, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-m2/3,1,74,657,"Primary somatosensory area, mouth, layer 2/3","[997, 8, 567, 688, 695, 315, 453, 322, 345, 657]","[667481441, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-m4,1,75,950,"Primary somatosensory area, mouth, layer 4","[997, 8, 567, 688, 695, 315, 453, 322, 345, 950]","[184527634, 12, 667481445, 691663206]","[24, 128, 100]"
SSp-m5,1,76,974,"Primary somatosensory area, mouth, layer 5","[997, 8, 567, 688, 695, 315, 453, 322, 345, 974]","[184527634, 12, 667481446, 691663206]","[24, 128, 100]"
SSp-m6a,1,77,1102,"Primary somatosensory area, mouth, layer 6a","[997, 8, 567, 688, 695, 315, 453, 322, 345, 1102]","[667481449, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-m6b,1,78,2,"Primary somatosensory area, mouth, layer 6b","[997, 8, 567, 688, 695, 315, 453, 322, 345, 2]","[667481450, 184527634, 12, 691663206]","[24, 128, 100]"
SSp-ul,1,79,369,"Primary somatosensory area, upper limb","[997, 8, 567, 688, 695, 315, 453, 322, 369]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
