Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,,Controllers
thumb.01.R,Avatar_RightHandThumb1,,,,
thumb.02.R,Avatar_RightHandThumb2,,,,
thumb.03.R,Avatar_RightHandThumb3,,,,
f_index.01.R,Avatar_RightHandIndex1,,,,
f_index.02.R,Avatar_RightHandIndex2,,,,
f_index.03.R,Avatar_RightHandIndex3,,,,
f_middle.01.R,Avatar_RightHandMiddle1,,,,
f_middle.02.R,Avatar_RightHandMiddle2,,,,
f_middle.03.R,Avatar_RightHandMiddle3,,,,
f_ring.01.R,Avatar_RightHandRing1,,,,
f_ring.02.R,Avatar_RightHandRing2,,,,
f_ring.03.R,Avatar_RightHandRing3,,,,
f_pinky.01.R,Avatar_RightHandPinky1,,,,
f_pinky.02.R,Avatar_RightHandPinky2,,,,
f_pinky.03.R,Avatar_RightHandPinky3,,,,
thumb.01.L,Avatar_LeftHandThumb1,,,,
thumb.02.L,Avatar_LeftHandThumb2,,,,
thumb.03.L,Avatar_LeftHandThumb3,,,,
f_index.01.L,Avatar_LeftHandIndex1,,,,
f_index.02.L,Avatar_LeftHandIndex2,,,,
f_index.03.L,Avatar_LeftHandIndex3,,,,
f_middle.01.L,Avatar_LeftHandMiddle1,,,,
f_middle.02.L,Avatar_LeftHandMiddle2,,,,
f_middle.03.L,Avatar_LeftHandMiddle3,,,,
f_ring.01.L,Avatar_LeftHandRing1,,,,
f_ring.02.L,Avatar_LeftHandRing2,,,,
f_ring.03.L,Avatar_LeftHandRing3,,,,
f_pinky.01.L,Avatar_LeftHandPinky1,,,,
f_pinky.02.L,Avatar_LeftHandPinky2,,,,
f_pinky.03.L,Avatar_LeftHandPinky3,,,,
