date,inflow
2024-01-01,150.0
2024-01-02,120.0
2024-01-03,200.0
2024-01-04,350.0
2024-01-05,280.0
2024-01-06,180.0
2024-01-07,140.0
2024-01-08,130.0
2024-01-09,110.0
2024-01-10,100.0
2024-01-11,180.0
2024-01-12,250.0
2024-01-13,200.0
2024-01-14,150.0
2024-01-15,130.0
2024-01-16,120.0
2024-01-17,160.0
2024-01-18,300.0
2024-01-19,240.0
2024-01-20,170.0
2024-01-21,140.0
2024-01-22,120.0
2024-01-23,110.0
2024-01-24,150.0
2024-01-25,220.0
2024-01-26,180.0
2024-01-27,150.0
2024-01-28,130.0
2024-01-29,140.0
2024-01-30,120.0
