date,inflow
2024-01-01,166.8
2024-01-02,133.6
2024-01-03,230.4
2024-01-04,353.0
2024-01-05,327.5
2024-01-06,199.4
2024-01-07,167.9
2024-01-08,132.6
2024-01-09,118.7
2024-01-10,104.3
2024-01-11,216.6
2024-01-12,273.3
2024-01-13,205.5
2024-01-14,163.2
2024-01-15,141.7
2024-01-16,129.9
2024-01-17,158.8
2024-01-18,338.1
2024-01-19,283.4
2024-01-20,179.4
2024-01-21,145.2
2024-01-22,123.8
2024-01-23,119.2
2024-01-24,177.7
2024-01-25,251.6
2024-01-26,206.2
2024-01-27,173.3
2024-01-28,130.5
2024-01-29,161.9
2024-01-30,119.3
2024-01-31,172.1
2024-02-01,144.5
2024-02-02,199.6
2024-02-03,400.2
2024-02-04,288.5
2024-02-05,206.2
2024-02-06,150.7
2024-02-07,130.5
2024-02-08,124.7
2024-02-09,120.8
2024-02-10,193.9
2024-02-11,298.6
2024-02-12,211.8
2024-02-13,160.2
2024-02-14,143.0
2024-02-15,142.3
2024-02-16,170.7
2024-02-17,322.4
2024-02-18,286.6
2024-02-19,196.3
2024-02-20,141.6
2024-02-21,127.7
2024-02-22,110.4
2024-02-23,180.4
2024-02-24,222.2
2024-02-25,182.6
2024-02-26,165.6
2024-02-27,133.6
2024-02-28,163.5
2024-02-29,125.1
2024-03-01,195.8
2024-03-02,168.4
2024-03-03,255.1
2024-03-04,470.9
2024-03-05,390.7
2024-03-06,256.3
2024-03-07,190.7
2024-03-08,175.3
2024-03-09,147.2
2024-03-10,130.9
2024-03-11,256.3
2024-03-12,302.1
2024-03-13,271.9
2024-03-14,206.3
2024-03-15,183.9
2024-03-16,165.6
2024-03-17,213.5
2024-03-18,390.5
2024-03-19,328.2
2024-03-20,230.5
2024-03-21,198.9
2024-03-22,147.0
2024-03-23,145.8
2024-03-24,199.2
2024-03-25,295.1
2024-03-26,248.0
2024-03-27,183.3
2024-03-28,159.7
2024-03-29,184.9
2024-03-30,165.2
2024-03-31,202.5
2024-04-01,150.3
2024-04-02,268.0
2024-04-03,432.0
2024-04-04,395.0
2024-04-05,252.2
2024-04-06,184.4
