ban,company_name,industry_type,yr111_sales,yr111_purchases,yr111_inventory,yr111_inv_sales_ratio,yr111_inv_purch_ratio,yr111_vat_rate,yr111_tax_paid,yr112_sales,yr112_purchases,yr112_inventory,yr112_inv_sales_ratio,yr112_inv_purch_ratio,yr112_vat_rate,yr112_tax_paid,tax_method
BAN1111,甲骨文五金批發有限公司,批發業,20000000,18000000,45000000,2.2500,2.5000,0.1000,100000,10000000,500000,60000000,6.0000,120.0000,0.9500,475000,1(一般課稅)
BAN1112,乙太電子貿易行,零售業,50000000,52000000,10000000,0.2000,0.1923,-0.0400,0,55000000,58000000,12000000,0.2182,0.2069,-0.0545,0,1(一般課稅)
BAN1113,丙火國際實業有限公司,一般批發,0,0,0,0.0000,0.0000,0.0000,0,200000000,198000000,500000,0.0025,0.0025,0.0100,100000,1(一般課稅)
BAN1114,XXX商行有限公司,批發零售業,43880548,7503835,8904092,6.6831,8.0393,-0.2133,0,46168514,15394024,13534875,3.4275,4.4323,0.1381,3195,1(一般課稅)
BAN1115,丁卯顧問有限公司,管理顧問業,5000000,100000,0,0.0000,0.0000,0.9800,245000,5500000,20000000,20000000,3.6364,1.0000,-2.6364,0,1(一般課稅)
BAN1116,戊辰服飾精品店,零售業,12000000,8000000,15000000,1.2500,1.8750,0.3333,200000,11000000,9000000,18000000,1.6364,2.0000,0.1818,100000,1(一般課稅)
BAN1117,己巳建材行,建材批發,30000000,29000000,5000000,0.1667,0.1724,0.0333,50000,32000000,31000000,4000000,0.1250,0.1290,0.0313,50000,1(一般課稅)
BAN1118,庚午餐飲集團,餐飲業,80000000,30000000,2000000,0.0250,0.0667,0.6250,2500000,48000000,18000000,1200000,0.0250,0.0667,0.6250,1500000,1(一般課稅)
BAN1119,辛未進出口有限公司,國際貿易,100000000,80000000,10000000,0.1000,0.1250,0.2000,0,120000000,90000000,15000000,0.1250,0.1667,0.2500,0,1(一般課稅)
BAN1120,壬申科技股份有限公司,軟體服務業,15000000,5000000,0,0.0000,0.0000,0.6667,500000,16000000,14000000,0,0.0000,0.0000,0.1250,100000,1(一般課稅)
BAN1121,癸酉文具店,文具零售,2000000,1200000,300000,0.1500,0.2500,0.4000,40000,2100000,1300000,350000,0.1667,0.2692,0.3810,40000,1(一般課稅)
BAN1122,甲戌便利超商,連鎖零售,5000000,3500000,500000,0.1000,0.1429,0.3000,75000,5200000,3600000,520000,0.1000,0.1444,0.3077,80000,1(一般課稅)
BAN1123,乙亥工程行,營造業,50000000,40000000,0,0.0000,0.0000,0.2000,500000,55000000,44000000,0,0.0000,0.0000,0.2000,550000,1(一般課稅)
BAN1124,丙子設計工作室,勞務業,3000000,500000,0,0.0000,0.0000,0.8333,125000,3500000,600000,0,0.0000,0.0000,0.8286,145000,1(一般課稅)
BAN1125,丁丑物流有限公司,運輸業,80000000,60000000,2000000,0.0250,0.0333,0.2500,1000000,85000000,65000000,2200000,0.0259,0.0338,0.2353,1000000,1(一般課稅)
