RANK,name
1.0,Walmart
2.0,Amazon
3.0,State Grid
4.0,Saudi Aramco
5.0,Sinopec Group
6.0,China National Petroleum
7.0,Apple
8.0,UnitedHealth Group
9.0,Berkshire Hathaway
10.0,CVS Health
11.0,Volkswagen
12.0,Exxon Mobil
13.0,Shell
14.0,China State Construction Engineering
15.0,Toyota Motor
16.0,McKesson
17.0,Alphabet
18.0,Cencora
19.0,Trafigura Group
20.0,Costco Wholesale
21.0,JPMorgan Chase
22.0,Industrial & Commercial Bank of China
23.0,TotalEnergies
24.0,Glencore
25.0,BP
26.0,Microsoft
27.0,Cardinal Health
28.0,Stellantis
29.0,Chevron
30.0,China Construction Bank
31.0,Samsung Electronics
32.0,Hon Hai Precision Industry
33.0,Cigna
34.0,Agricultural Bank of China
35.0,China Railway Engineering Group
36.0,Ford Motor
37.0,Bank of China
38.0,Bank of America
39.0,General Motors
40.0,Elevance Health
41.0,BMW Group
42.0,Mercedes-Benz Group
43.0,China Railway Construction
44.0,China Baowu Steel Group
45.0,Citigroup
46.0,Centene
47.0,JD.com
48.0,Home Depot
49.0,Electricite de France
50.0,Marathon Petroleum
51.0,Kroger
52.0,Phillips 66
53.0,Ping An Insurance
54.0,Sinochem Holdings
55.0,China Mobile Communications
56.0,China National Offshore Oil
57.0,Honda Motor
58.0,Fannie Mae
59.0,China Life Insurance
60.0,Walgreens Boots Alliance
61.0,Valero Energy
62.0,Banco Santander
63.0,China Communications Construction
64.0,BNP Paribas
65.0,Mitsubishi
66.0,Meta Platforms
67.0,HSBC Holdings
68.0,Verizon Communications
69.0,China Minmetals
70.0,Alibaba Group
71.0,CITIC Group
72.0,China Resources
73.0,Hyundai Motor
74.0,AT&T
75.0,Shandong Energy Group
76.0,Comcast
77.0,Deutsche Telekom
78.0,China Southern Power Grid
79.0,Uniper
80.0,Wells Fargo
81.0,Hengli Group
82.0,Allianz
83.0,China Post Group
84.0,China Energy Investment
85.0,Xiamen C&D
86.0,Reliance Industries
87.0,Goldman Sachs Group
88.0,Freddie Mac
89.0,Rosneft Oil
90.0,Target
91.0,Equinor
92.0,Humana
93.0,SAIC Motor
94.0,State Farm Insurance
95.0,Life Insurance Corp. of India
96.0,Nestle
97.0,Enel
98.0,ENI
99.0,Petrobras
100.0,SK
101.0,E.ON
102.0,Gazprom
103.0,Huawei Investment & Holding
104.0,Societe Generale
105.0,Bosch Group
106.0,COFCO
107.0,Itochu
108.0,PowerChina
109.0,Pemex
110.0,Tesla
111.0,Morgan Stanley
112.0,Sinopharm
113.0,Brookfield
114.0,Royal Ahold Delhaize
115.0,Johnson & Johnson
116.0,Indian Oil
117.0,Archer Daniels Midland
118.0,Credit Agricole
119.0,Christian Dior
120.0,Nippon Telegraph and Telephone
121.0,Mitsui
122.0,Carrefour
123.0,PepsiCo
124.0,United Parcel Service
125.0,PTT
126.0,AXA
127.0,FedEx
128.0,Sony
129.0,China FAW Group
130.0,Engie
131.0,Walt Disney
132.0,Orlen
133.0,Dell Technologies
134.0,DHL Group
135.0,China Telecommunications
136.0,Nissan Motor
137.0,Royal Bank of Canada
138.0,Zhejiang Rongsheng Holding Group
139.0,Lowe's
140.0,Tesco
141.0,Tencent Holdings
142.0,Xiamen ITG Holding Group
143.0,BYD
144.0,Nippon Life Insurance
145.0,Siemens
146.0,Japan Post Holdings
147.0,Aviation Industry Corp. of China
148.0,Mitsubishi UFJ Financial Group
149.0,Procter & Gamble
150.0,Wuchan Zhongda Group
151.0,Seven & I Holdings
152.0,Albertsons
153.0,ENEOS Holdings
154.0,Bank of Communications
155.0,Energy Transfer
156.0,U.S. Postal Service
157.0,Jiangxi Copper
158.0,People's Insurance Co. of China
159.0,Boeing
160.0,China North Industries Group
161.0,Pacific Construction Group
162.0,Kia
163.0,Sysco
164.0,Dai-ichi Life Holdings
165.0,Pertamina
166.0,Vinci
167.0,Petronas
168.0,Toronto-Dominion Bank
169.0,Lukoil
170.0,Shaanxi Coal & Chemical Industry
171.0,Shenghong Holding Group
172.0,BASF
173.0,China Poly Group
174.0,Groupe BPCE
175.0,Shandong Weiqiao Pioneering Group
176.0,JBS
177.0,Alimentation Couche-Tard
178.0,State Bank of India
179.0,China Merchants Bank
180.0,Oil & Natural Gas
181.0,Guangzhou Automobile Industry Group
182.0,UBS Group
183.0,Airbus
184.0,Toyota Tsusho
185.0,Zhejiang Geely Holding Group
186.0,Taiwan Semiconductor Manufacturing
187.0,XMXYG
188.0,RTX
189.0,Itau Unibanco Holding
190.0,ArcelorMittal
191.0,General Electric
192.0,Beijing Automotive Group
193.0,Lockheed Martin
194.0,Koc Holding
195.0,American Express
196.0,Hitachi
197.0,Roche Group
198.0,Wilmar International
199.0,Caterpillar
200.0,Banco Bilbao Vizcaya Argentaria
201.0,Korea Electric Power
202.0,MetLife
203.0,AEON
