Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,ue2rigify_template,Controllers
RightArm,RightArm,,,,
RightForeArm,RightForeArm,,,,
RightHand,RightHand,,,,
LeftArm,LeftArm,,,,
LeftForeArm,LeftForeArm,,,,
LeftHand,LeftHand,,,,
Hips,Hips,,,,
Spine,Spine,,,,
Spine1,Spine1,,,,
Head,Head,,,,
RightUpLeg,RightUpLeg,,,,
RightLeg,RightLeg,,,,
RightFoot,RightFoot,,,,
LeftUpLeg,LeftUpLeg,,,,
LeftLeg,LeftLeg,,,,
LeftFoot,LeftFoot,,,,
LeftToeBase,LeftToeBase,,,,
RightToeBase,RightToeBase,,,,
RightShoulder,RightShoulder,,,,
LeftShoulder,LeftShoulder,,,,
