Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,ue2rigify_template,Controllers
RightArm,mixamorig:RightArm,,,,
RightForeArm,mixamorig:RightForeArm,,,,
RightHand,mixamorig:RightHand,,,,
LeftArm,mixamorig:LeftArm,,,,
LeftForeArm,mixamorig:LeftForeArm,,,,
LeftHand,mixamorig:LeftHand,,,,
Hips,mixamorig:Hips,,,,
Spine,mixamorig:Spine,,,,
Spine1,mixamorig:Spine1,,,,
Head,mixamorig:Neck,,,,
RightUpLeg,mixamorig:RightUpLeg,,,,
RightLeg,mixamorig:RightLeg,,,,
RightFoot,mixamorig:RightFoot,,,,
LeftUpLeg,mixamorig:LeftUpLeg,,,,
LeftLeg,mixamorig:LeftLeg,,,,
LeftFoot,mixamorig:LeftFoot,,,,
LeftToeBase,mixamorig:LeftToeBase,,,,
RightToeBase,mixamorig:RightToeBase,,,,
RightShoulder,mixamorig:RightShoulder,,,,
LeftShoulder,mixamorig:LeftShoulder,,,,
