name;source;target;adjacency
lb0;A;B;3
lb1;A;D;1
lb2;A;E;1
lb3;A;F;1
lb4;A;G;1
lb5;A;H;1
lb6;A;I;1
lb7;A;J;1
lb8;A;K;1
lb9;B;A;3
lb10;B;D;1
lb11;B;E;1
lb12;B;F;1
lb13;B;G;1
lb14;B;H;1
lb15;B;I;1
lb16;B;J;1
lb17;B;K;1
lb18;C;D;1
lb19;C;E;1
lb20;C;F;1
lb21;C;G;1
lb22;C;H;1
lb23;C;I;1
lb24;C;J;1
lb25;C;K;1
lb26;D;A;1
lb27;D;B;1
lb28;D;C;1
lb29;D;E;2
lb30;D;F;2
lb31;D;G;2
lb32;E;A;1
lb33;E;B;1
lb34;E;C;1
lb35;E;D;2
lb36;E;F;5
lb37;F;A;1
lb38;F;B;1
lb39;F;C;1
lb40;F;D;2
lb41;F;E;5
lb42;G;A;1
lb43;G;B;1
lb44;G;C;1
lb45;G;D;2
lb46;H;A;1
lb47;H;B;1
lb48;H;C;1
lb49;H;I;2
lb50;H;J;1
lb51;I;A;1
lb52;I;B;1
lb53;I;C;1
lb54;I;H;2
lb55;I;J;3
lb56;J;A;1
lb57;J;B;1
lb58;J;C;1
lb59;J;H;1
lb60;J;I;3
lb61;K;A;1
lb62;K;B;1
lb63;K;C;1
