name;technology risk factor
Delta II Launch Vehicle;1
Cruise Stage Structure;1
Cruise Power System;1
Aeroshell (Heatshield & Backplane);4
Parachute;3
Solid Rocket Assisted Decelerator;3
Airbags;3
Backshell Pyro Switching & Pyros;2
Lander Shunt Limiter Unit;1
Power Distribution and Control;1
Lander Petals/Solar Array;1
Lander Battery;1
Lander Pyro Switching Assys and Pyros;2
Cruise Power Converter;1
AIM Power Converter;1
Cruise Remote Eng Unit;1
Star Scanner & Sun Sensor;1
Propulsion Drive Elect;1
Propulsion Heaters;1
Propulsion Tanks/Thrusters;1
Telecommunications Boards - VME I/F;3
Telecommunications Boards - TEL I/F;3
Cruise MGA;1
Entry, Descent & Lander LGAs;1
Lander HGA;1
Transponder, Diplexer, Amplifier;1
Mechanical Actuators;1
Lander Power Converter;1
Radar Altimeter;1
Lander Sensors;1
HGA Actuators;1
Lander Remoter Eng Unit;3
UHF Modem;3
Sojourner Rover;3
Flight Computer & I/F Boards;3
Imager;1
Atmospheric Structure Instrument;1
1553 Data Bus;3
VME Bus;3
Freon Active Thermal Control;1
Passive Thermal Control/Enclosure;1
Spacecraft Software;1
Lander Structure;1
