id,GlobalDockQ,Rank
1AWI_AB_1AWI_authP,0.2,001
1AWI_AB_1AWI_authP,0.22,002
1AWI_AB_1AWI_authP,0.2,003
1AWI_AB_1AWI_authP,0.38,004
1AWI_AB_1AWI_authP,0.17,005
1AWR_A_1AWR_G,0.25,001
1AWR_A_1AWR_G,0.3,002
1AWR_A_1AWR_G,0.3,003
1AWR_A_1AWR_G,0.27,004
1AWR_A_1AWR_G,0.51,005
1B8H_B_1B8H_D,0.8,001
1B8H_B_1B8H_D,0.67,002
1B8H_B_1B8H_D,0.74,003
1B8H_B_1B8H_D,0.75,004
1B8H_B_1B8H_D,0.79,005
1BH8_B_1BH8_A,0.95,001
1BH8_B_1BH8_A,0.95,002
1BH8_B_1BH8_A,0.95,003
1BH8_B_1BH8_A,0.96,004
1BH8_B_1BH8_A,0.96,005
1C8O_A_1C8O_B,0.84,001
1C8O_A_1C8O_B,0.85,002
1C8O_A_1C8O_B,0.86,003
1C8O_A_1C8O_B,0.85,004
1C8O_A_1C8O_B,0.86,005
1CA9_ADE_1CA9_G,0.23,001
1CA9_ADE_1CA9_G,0.26,002
1CA9_ADE_1CA9_G,0.2,003
1CA9_ADE_1CA9_G,0.22,004
1CA9_ADE_1CA9_G,0.04,005
1CKA_A_1CKA_B,0.79,001
1CKA_A_1CKA_B,0.77,002
1CKA_A_1CKA_B,0.8,003
1CKA_A_1CKA_B,0.78,004
1CKA_A_1CKA_B,0.74,005
1CN3_ABDE_1CN3_F,0.29,001
1CN3_ABDE_1CN3_F,0.34,002
1CN3_ABDE_1CN3_F,0.13,003
1CN3_ABDE_1CN3_F,0.33,004
1CN3_ABDE_1CN3_F,0.24,005
1D4T_A_1D4T_B,0.11,001
1D4T_A_1D4T_B,0.11,002
1D4T_A_1D4T_B,0.29,003
1D4T_A_1D4T_B,0.23,004
1D4T_A_1D4T_B,0.25,005
1DD3_AB_1DD3_C,0.06,001
1DD3_AB_1DD3_C,0.05,002
1DD3_AB_1DD3_C,0.12,003
1DD3_AB_1DD3_C,0.09,004
1DD3_AB_1DD3_C,0.11,005
1DDV_A_1DDV_B,0.73,001
1DDV_A_1DDV_B,0.51,002
1DDV_A_1DDV_B,0.5,003
