name;labels
Advance Wheel;"Fun Saver;Outdoor;Plus Digital"
Back Panel;"Fun Saver;Outdoor;Plus Digital"
Battery;"Fun Saver;Plus Digital"
Circuit Board;"Fun Saver;Plus Digital"
Counter Wheel;"Fun Saver;Outdoor;Plus Digital"
Film;"Fun Saver;Outdoor;Plus Digital"
Film Reel;"Fun Saver;Outdoor;Plus Digital"
Front Panel;"Fun Saver;Outdoor;Plus Digital"
Front Plate;Plus Digital
Image Frame;"Fun Saver;Outdoor;Plus Digital"
Inner Lens;Plus Digital
Inner Lens Plate;"Fun Saver;Outdoor;Plus Digital"
Lens;"Fun Saver;Outdoor;Plus Digital"
Lens Cover;Plus Digital
Locking Arm;"Fun Saver;Outdoor;Plus Digital"
Locking Arm Spring;"Fun Saver;Outdoor;Plus Digital"
Operation Shaft;"Fun Saver;Outdoor;Plus Digital"
Outer Lens Plate;"Fun Saver;Outdoor;Plus Digital"
Shutter;"Fun Saver;Outdoor;Plus Digital"
Shutter Activation Arm;"Fun Saver;Outdoor;Plus Digital"
Shutter Arm Spring;"Fun Saver;Outdoor;Plus Digital"
Shutter Release;"Fun Saver;Outdoor;Plus Digital"
Shutter Spring;"Fun Saver;Outdoor;Plus Digital"
Structure;"Fun Saver;Outdoor;Plus Digital"
Transducer Wheel;"Fun Saver;Outdoor;Plus Digital"
View Finder;"Fun Saver;Outdoor;Plus Digital"
