name;source;target;adjacency;technology risk
pfi000;Cruise Stage Structure;Delta II Launch Vehicle;4;4
pfi001;Aeroshell (Heatshield & Backplane);Delta II Launch Vehicle;2;8
pfi002;Lander Structure;Delta II Launch Vehicle;2;2
pfi003;Delta II Launch Vehicle;Cruise Stage Structure;4;4
pfi004;Cruise Power System;Cruise Stage Structure;2;2
pfi005;Aeroshell (Heatshield & Backplane);Cruise Stage Structure;2;8
pfi006;Cruise Power Converter;Cruise Stage Structure;2;2
pfi007;Cruise Remote Eng Unit;Cruise Stage Structure;2;2
pfi008;Star Scanner & Sun Sensor;Cruise Stage Structure;2;2
pfi009;Propulsion Drive Elect;Cruise Stage Structure;2;2
pfi010;Propulsion Heaters;Cruise Stage Structure;2;2
pfi011;Propulsion Tanks/Thrusters;Cruise Stage Structure;2;2
pfi012;Cruise MGA;Cruise Stage Structure;2;2
pfi013;Lander Structure;Cruise Stage Structure;2;2
pfi014;Cruise Stage Structure;Cruise Power System;2;2
pfi015;Power Distribution and Control;Cruise Power System;4;4
pfi016;Freon Active Thermal Control;Cruise Power System;2;2
pfi017;Spacecraft Software;Cruise Power System;1;1
pfi018;Delta II Launch Vehicle;Aeroshell (Heatshield & Backplane);2;8
pfi019;Cruise Stage Structure;Aeroshell (Heatshield & Backplane);2;8
pfi020;Parachute;Aeroshell (Heatshield & Backplane);2;24
pfi021;Backshell Pyro Switching & Pyros;Aeroshell (Heatshield & Backplane);4;32
pfi022;Spacecraft Software;Aeroshell (Heatshield & Backplane);1;4
pfi023;Lander Structure;Aeroshell (Heatshield & Backplane);4;16
pfi024;Aeroshell (Heatshield & Backplane);Parachute;2;24
pfi025;Solid Rocket Assisted Decelerator;Parachute;4;36
pfi026;Backshell Pyro Switching & Pyros;Parachute;4;24
pfi027;Spacecraft Software;Parachute;1;3
pfi028;Lander Structure;Parachute;4;12
pfi029;Parachute;Solid Rocket Assisted Decelerator;4;36
pfi030;Backshell Pyro Switching & Pyros;Solid Rocket Assisted Decelerator;4;24
pfi031;Spacecraft Software;Solid Rocket Assisted Decelerator;1;3
pfi032;Lander Structure;Solid Rocket Assisted Decelerator;2;6
pfi033;Backshell Pyro Switching & Pyros;Airbags;4;24
pfi034;Spacecraft Software;Airbags;1;3
pfi035;Lander Structure;Airbags;4;12
pfi036;Aeroshell (Heatshield & Backplane);Backshell Pyro Switching & Pyros;4;32
pfi037;Parachute;Backshell Pyro Switching & Pyros;4;24
pfi038;Solid Rocket Assisted Decelerator;Backshell Pyro Switching & Pyros;4;24
pfi039;Airbags;Backshell Pyro Switching & Pyros;4;24
pfi040;Lander Shunt Limiter Unit;Backshell Pyro Switching & Pyros;4;8
pfi041;Freon Active Thermal Control;Backshell Pyro Switching & Pyros;2;4
pfi042;Spacecraft Software;Backshell Pyro Switching & Pyros;1;2
pfi043;Lander Structure;Backshell Pyro Switching & Pyros;4;8
pfi044;Backshell Pyro Switching & Pyros;Lander Shunt Limiter Unit;4;8
pfi045;Lander Petals/Solar Array;Lander Shunt Limiter Unit;4;4
pfi046;Lander Battery;Lander Shunt Limiter Unit;4;4
pfi047;Lander Pyro Switching Assys and Pyros;Lander Shunt Limiter Unit;4;8
pfi048;Freon Active Thermal Control;Lander Shunt Limiter Unit;2;2
pfi049;Passive Thermal Control/Enclosure;Lander Shunt Limiter Unit;2;2
pfi050;Spacecraft Software;Lander Shunt Limiter Unit;1;1
pfi051;Lander Structure;Lander Shunt Limiter Unit;2;2
pfi052;Cruise Power System;Power Distribution and Control;4;4
pfi053;Cruise Power Converter;Power Distribution and Control;4;4
pfi054;AIM Power Converter;Power Distribution and Control;4;4
pfi055;Lander Power Converter;Power Distribution and Control;4;4
pfi056;Freon Active Thermal Control;Power Distribution and Control;2;2
pfi057;Passive Thermal Control/Enclosure;Power Distribution and Control;2;2
pfi058;Spacecraft Software;Power Distribution and Control;1;1
pfi059;Lander Structure;Power Distribution and Control;2;2
pfi060;Lander Shunt Limiter Unit;Lander Petals/Solar Array;4;4
pfi061;Spacecraft Software;Lander Petals/Solar Array;1;1
pfi062;Lander Structure;Lander Petals/Solar Array;2;2
pfi063;Lander Shunt Limiter Unit;Lander Battery;4;4
pfi064;Freon Active Thermal Control;Lander Battery;2;2
pfi065;Passive Thermal Control/Enclosure;Lander Battery;2;2
pfi066;Spacecraft Software;Lander Battery;1;1
pfi067;Lander Structure;Lander Battery;2;2
pfi068;Lander Shunt Limiter Unit;Lander Pyro Switching Assys and Pyros;4;8
pfi069;Freon Active Thermal Control;Lander Pyro Switching Assys and Pyros;2;4
pfi070;Passive Thermal Control/Enclosure;Lander Pyro Switching Assys and Pyros;2;4
pfi071;Spacecraft Software;Lander Pyro Switching Assys and Pyros;1;2
pfi072;Lander Structure;Lander Pyro Switching Assys and Pyros;2;4
pfi073;Cruise Stage Structure;Cruise Power Converter;2;2
pfi074;Power Distribution and Control;Cruise Power Converter;4;4
pfi075;Cruise Remote Eng Unit;Cruise Power Converter;4;4
pfi076;Propulsion Drive Elect;Cruise Power Converter;4;4
pfi077;Spacecraft Software;Cruise Power Converter;1;1
pfi078;Lander Structure;Cruise Power Converter;2;2
pfi079;Power Distribution and Control;AIM Power Converter;4;4
pfi080;VME Bus;AIM Power Converter;4;12
pfi081;Freon Active Thermal Control;AIM Power Converter;2;2
pfi082;Passive Thermal Control/Enclosure;AIM Power Converter;2;2
pfi083;Spacecraft Software;AIM Power Converter;1;1
pfi084;Lander Structure;AIM Power Converter;2;2
pfi085;Cruise Stage Structure;Cruise Remote Eng Unit;2;2
pfi086;Cruise Power Converter;Cruise Remote Eng Unit;4;4
pfi087;Star Scanner & Sun Sensor;Cruise Remote Eng Unit;4;4
pfi088;1553 Data Bus;Cruise Remote Eng Unit;4;12
pfi089;Spacecraft Software;Cruise Remote Eng Unit;2;2
pfi090;Cruise Stage Structure;Star Scanner & Sun Sensor;2;2
pfi091;Cruise Remote Eng Unit;Star Scanner & Sun Sensor;4;4
pfi092;Spacecraft Software;Star Scanner & Sun Sensor;1;1
pfi093;Cruise Stage Structure;Propulsion Drive Elect;2;2
pfi094;Cruise Power Converter;Propulsion Drive Elect;4;4
pfi095;Propulsion Heaters;Propulsion Drive Elect;4;4
pfi096;Propulsion Tanks/Thrusters;Propulsion Drive Elect;4;4
pfi097;Spacecraft Software;Propulsion Drive Elect;1;1
pfi098;Cruise Stage Structure;Propulsion Heaters;2;2
pfi099;Propulsion Drive Elect;Propulsion Heaters;4;4
pfi100;Propulsion Tanks/Thrusters;Propulsion Heaters;4;4
pfi101;Spacecraft Software;Propulsion Heaters;1;1
pfi102;Cruise Stage Structure;Propulsion Tanks/Thrusters;2;2
pfi103;Propulsion Drive Elect;Propulsion Tanks/Thrusters;4;4
pfi104;Propulsion Heaters;Propulsion Tanks/Thrusters;4;4
pfi105;Spacecraft Software;Propulsion Tanks/Thrusters;1;1
pfi106;Telecommunications Boards - TEL I/F;Telecommunications Boards - VME I/F;4;36
pfi107;1553 Data Bus;Telecommunications Boards - VME I/F;4;36
pfi108;VME Bus;Telecommunications Boards - VME I/F;4;36
pfi109;Freon Active Thermal Control;Telecommunications Boards - VME I/F;2;6
pfi110;Passive Thermal Control/Enclosure;Telecommunications Boards - VME I/F;2;6
pfi111;Spacecraft Software;Telecommunications Boards - VME I/F;2;6
pfi112;Lander Structure;Telecommunications Boards - VME I/F;2;6
pfi113;Telecommunications Boards - VME I/F;Telecommunications Boards - TEL I/F;4;36
pfi114;Transponder, Diplexer, Amplifier;Telecommunications Boards - TEL I/F;4;12
pfi115;Freon Active Thermal Control;Telecommunications Boards - TEL I/F;2;6
pfi116;Passive Thermal Control/Enclosure;Telecommunications Boards - TEL I/F;2;6
pfi117;Spacecraft Software;Telecommunications Boards - TEL I/F;2;6
pfi118;Lander Structure;Telecommunications Boards - TEL I/F;2;6
pfi119;Cruise Stage Structure;Cruise MGA;2;2
pfi120;Transponder, Diplexer, Amplifier;Cruise MGA;4;4
pfi121;Spacecraft Software;Cruise MGA;1;1
pfi122;Transponder, Diplexer, Amplifier;Entry, Descent & Lander LGAs;4;4
pfi123;Spacecraft Software;Entry, Descent & Lander LGAs;1;1
pfi124;Lander Structure;Entry, Descent & Lander LGAs;2;2
