source;target;name;kind;labels;default;binary;electrical energy;information;material;mechanical energy;spatial;sum
Hoisting machinery;Bed-plate;ele45-0;edge;s;1;1;False;False;False;False;True;1
Hoisting machinery;Rope guards;ele45-1;edge;s;1;1;False;False;False;False;True;1
Hoisting machinery;Car guide rails;ele45-2;edge;s;1;1;False;False;False;False;True;1
Hoisting machinery;Ropes, hoisting & compensation;ele45-3;edge;"s;ME";1;1;False;False;False;True;True;2
Hoisting machinery;Car sling;ele45-4;edge;"s;ME";1;1;False;False;False;True;True;2
Hoisting machinery;Control panel;ele45-5;edge;EE;1;1;True;False;False;False;False;1
Hoisting machinery;Drive panel;ele45-6;edge;"i;EE";1;1;True;True;False;False;False;2
Hoisting machinery;Car Door;ele45-7;edge;i;1;1;False;True;False;False;False;1
Bed-plate;Hoisting machinery;ele45-8;edge;s;1;1;False;False;False;False;True;1
Bed-plate;Rope guards;ele45-9;edge;s;1;1;False;False;False;False;True;1
Machinery isolation;Rope guards;ele45-10;edge;s;1;1;False;False;False;False;True;1
Machinery isolation;Counterweight guide rails;ele45-11;edge;s;1;1;False;False;False;False;True;1
Rope guards;Hoisting machinery;ele45-12;edge;s;1;1;False;False;False;False;True;1
Rope guards;Bed-plate;ele45-13;edge;s;1;1;False;False;False;False;True;1
Rope guards;Machinery isolation;ele45-14;edge;s;1;1;False;False;False;False;True;1
Car guide rails;Hoisting machinery;ele45-15;edge;s;1;1;False;False;False;False;True;1
Car guide rails;Ropes, hoisting & compensation;ele45-16;edge;s;1;1;False;False;False;False;True;1
Counterweight guide rails;Machinery isolation;ele45-17;edge;s;1;1;False;False;False;False;True;1
Counterweight guide rails;Pit equipment;ele45-18;edge;s;1;1;False;False;False;False;True;1
Counterweight guide rails;Car & Guide rail brackets;ele45-19;edge;"s;ME";1;1;False;False;False;True;True;2
Counterweight guide rails;Fish plates;ele45-20;edge;s;1;1;False;False;False;False;True;1
Counterweight guide rails;Ropes, hoisting & compensation;ele45-21;edge;"s;m";1;1;False;False;False;False;True;1
Counterweight guide rails;Car sling;ele45-22;edge;"s;ME;m";1;1;False;False;True;True;True;3
Counterweight guide rails;Overspeed governor;ele45-23;edge;"s;ME";1;1;False;False;False;True;True;2
Counterweight guide rails;Rope termination brackets;ele45-24;edge;"s;ME";1;1;False;False;False;True;True;2
Counterweight guide rails;Pit ladder;ele45-25;edge;"s;ME";1;1;False;False;False;True;True;2
Counterweight guide rails;Positioning system;ele45-26;edge;s;1;1;False;False;False;False;True;1
Counterweight guide rails;Drive panel;ele45-27;edge;s;1;1;False;False;False;False;True;1
Counterweight screen;Pit (toe guard) panel;ele45-28;edge;s;1;1;False;False;False;False;True;1
Counterweight screen;Pit equipment;ele45-29;edge;s;1;1;False;False;False;False;True;1
Counterweight screen;Car & Guide rail brackets;ele45-30;edge;"s;ME";1;1;False;False;False;True;True;2
Counterweight screen;Fish plates;ele45-31;edge;s;1;1;False;False;False;False;True;1
Counterweight screen;Installation accessories package;ele45-32;edge;s;1;1;False;False;False;False;True;1
Counterweight screen;Ropes, hoisting & compensation;ele45-33;edge;"s;m";1;1;False;False;False;False;True;1
Counterweight screen;Car sling;ele45-34;edge;"s;ME;m";1;1;False;False;True;True;True;3
Counterweight screen;Counterweight sling;ele45-35;edge;"s;m;ME";1;1;False;False;True;True;True;3
Counterweight screen;Overspeed governor;ele45-36;edge;"s;ME";1;1;False;False;False;True;True;2
Counterweight screen;Pit ladder;ele45-37;edge;"s;ME";1;1;False;False;False;True;True;2
Pit (toe guard) panel;Counterweight screen;ele45-38;edge;s;1;1;False;False;False;False;True;1
Pit (toe guard) panel;Pit safety devices;ele45-39;edge;s;1;1;False;False;False;False;True;1
Pit (toe guard) panel;Car sling;ele45-40;edge;s;1;1;False;False;False;False;True;1
Pit (toe guard) panel;Counterweight sling;ele45-41;edge;s;1;1;False;False;False;False;True;1
Pit (toe guard) panel;Overspeed governor;ele45-42;edge;s;1;1;False;False;False;False;True;1
Pit (toe guard) panel;Filler mix;ele45-43;edge;s;1;1;False;False;False;False;True;1
Pit (toe guard) panel;Car shell;ele45-44;edge;s;1;1;False;False;False;False;True;1
Pit equipment;Counterweight guide rails;ele45-45;edge;s;1;1;False;False;False;False;True;1
Pit equipment;Counterweight screen;ele45-46;edge;s;1;1;False;False;False;False;True;1
Pit equipment;Car sling;ele45-47;edge;"s;ME";1;1;False;False;False;True;True;2
Pit equipment;Counterweight sling;ele45-48;edge;"s;ME";1;1;False;False;False;True;True;2
Pit equipment;Traveling cable;ele45-49;edge;s;1;1;False;False;False;False;True;1
Pit equipment;Electric cable bundle;ele45-50;edge;i;1;1;False;True;False;False;False;1
Pit equipment;Car Door;ele45-51;edge;"i;s";1;1;False;True;False;False;True;2
Pit equipment;Landing Door;ele45-52;edge;s;1;1;False;False;False;False;True;1
Pit equipment;Car signalization;ele45-53;edge;s;1;1;False;False;False;False;True;1
Car & Guide rail brackets;Counterweight guide rails;ele45-54;edge;"s;ME";1;1;False;False;False;True;True;2
Car & Guide rail brackets;Counterweight screen;ele45-55;edge;"s;ME";1;1;False;False;False;True;True;2
Car & Guide rail brackets;Fish plates;ele45-56;edge;s;1;1;False;False;False;False;True;1
Car & Guide rail brackets;Car sling;ele45-57;edge;s;1;1;False;False;False;False;True;1
Car & Guide rail brackets;Filler mix;ele45-58;edge;s;1;1;False;False;False;False;True;1
Car & Guide rail brackets;Structural Building Elements;ele45-59;edge;s;1;1;False;False;False;False;True;1
Fish plates;Counterweight guide rails;ele45-60;edge;s;1;1;False;False;False;False;True;1
Fish plates;Counterweight screen;ele45-61;edge;s;1;1;False;False;False;False;True;1
Fish plates;Car & Guide rail brackets;ele45-62;edge;s;1;1;False;False;False;False;True;1
Fish plates;Pit ladder;ele45-63;edge;s;1;1;False;False;False;False;True;1
Installation accessories package;Counterweight screen;ele45-64;edge;s;1;1;False;False;False;False;True;1
Ropes, hoisting & compensation;Hoisting machinery;ele45-65;edge;"s;ME";1;1;False;False;False;True;True;2
Ropes, hoisting & compensation;Car guide rails;ele45-66;edge;s;1;1;False;False;False;False;True;1
Ropes, hoisting & compensation;Counterweight guide rails;ele45-67;edge;"s;m";1;1;False;False;False;False;True;1
Ropes, hoisting & compensation;Counterweight screen;ele45-68;edge;"s;m";1;1;False;False;False;False;True;1
Ropes, hoisting & compensation;Car sling;ele45-69;edge;"s;ME";1;1;False;False;False;True;True;2
Ropes, hoisting & compensation;Counterweight sling;ele45-70;edge;"s;ME";1;1;False;False;False;True;True;2
Ropes, hoisting & compensation;Overspeed governor;ele45-71;edge;"s;ME";1;1;False;False;False;True;True;2
Ropes, hoisting & compensation;Rope termination brackets;ele45-72;edge;"s;ME";1;1;False;False;False;True;True;2
Ropes, hoisting & compensation;Pit ladder;ele45-73;edge;"s;ME";1;1;False;False;False;True;True;2
Ropes, hoisting & compensation;Filler mix;ele45-74;edge;s;1;1;False;False;False;False;True;1
Pit safety devices;Pit (toe guard) panel;ele45-75;edge;s;1;1;False;False;False;False;True;1
Pit safety devices;Counterweight sling;ele45-76;edge;"s;ME";1;1;False;False;False;True;True;2
Pit safety devices;Car shell;ele45-77;edge;"s;ME";1;1;False;False;False;True;True;2
Pit safety devices;Car floor;ele45-78;edge;"s;ME";1;1;False;False;False;True;True;2
Pit safety devices;Electric cable bundle;ele45-79;edge;i;1;1;False;True;False;False;False;1
Pit safety devices;Car Door;ele45-80;edge;"i;s";1;1;False;True;False;False;True;2
Pit safety devices;Landing signalization;ele45-81;edge;i;1;1;False;True;False;False;False;1
Car sling;Hoisting machinery;ele45-82;edge;"s;ME";1;1;False;False;False;True;True;2
Car sling;Counterweight guide rails;ele45-83;edge;"s;ME;m";1;1;False;False;True;True;True;3
Car sling;Counterweight screen;ele45-84;edge;"s;ME;m";1;1;False;False;True;True;True;3
Car sling;Pit (toe guard) panel;ele45-85;edge;s;1;1;False;False;False;False;True;1
Car sling;Pit equipment;ele45-86;edge;"s;ME";1;1;False;False;False;True;True;2
Car sling;Car & Guide rail brackets;ele45-87;edge;s;1;1;False;False;False;False;True;1
Car sling;Ropes, hoisting & compensation;ele45-88;edge;"s;ME";1;1;False;False;False;True;True;2
Car sling;Rope termination brackets;ele45-89;edge;"s;ME";1;1;False;False;False;True;True;2
Car sling;Filler mix;ele45-90;edge;s;1;1;False;False;False;False;True;1
Car sling;Car shell;ele45-91;edge;s;1;1;False;False;False;False;True;1
Car sling;Car floor;ele45-92;edge;"s;ME";1;1;False;False;False;True;True;2
Car sling;Car interior;ele45-93;edge;s;1;1;False;False;False;False;True;1
Car sling;Toe guard;ele45-94;edge;s;1;1;False;False;False;False;True;1
Car sling;Traveling cable;ele45-95;edge;s;1;1;False;False;False;False;True;1
