source;target;name;volatility
Estimate blank size;Select materials for all system components;ford000;6.0
Estimate efforts;Select materials for all system components;ford001;6.0
Perform cost analysis (variable and investment);Select materials for all system components;ford002;6.0
Theme approval for interior and exterior appearance (prelim surf available);Select materials for all system components;ford003;2.0
"Marketing commits to net revenue; initial ordering guide available";Select materials for all system components;ford004;4.0
Evaluate functional performance (analytically);Select materials for all system components;ford005;4.0
Iterate from initial design concept to achieve safe design concept;Select materials for all system components;ford006;6.0
Select powertrain lineup;Freeze proportions and selected hardpoints;ford007;2.0
Approve master sections;Freeze proportions and selected hardpoints;ford008;4.0
Develop initial attachment scheme;Freeze proportions and selected hardpoints;ford009;6.0
Freeze proportions and selected hardpoints;Verify that hardpoints and structural joint designs are compatible w/ program targets;ford010;4.0
Approve master sections;Verify that hardpoints and structural joint designs are compatible w/ program targets;ford011;4.0
Develop initial design concept (preliminary CAD model);Verify that hardpoints and structural joint designs are compatible w/ program targets;ford012;9.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Approve master sections;ford013;6.0
Freeze proportions and selected hardpoints;Approve master sections;ford014;6.0
Verify that hardpoints and structural joint designs are compatible w/ program targets;Approve master sections;ford015;6.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Develop initial design concept (preliminary CAD model);ford016;6.0
Freeze proportions and selected hardpoints;Develop initial design concept (preliminary CAD model);ford017;6.0
Verify that hardpoints and structural joint designs are compatible w/ program targets;Develop initial design concept (preliminary CAD model);ford018;6.0
Approve master sections;Develop initial design concept (preliminary CAD model);ford019;6.0
Develop initial attachment scheme;Develop initial design concept (preliminary CAD model);ford020;6.0
Cheat outer panel surface;Develop initial design concept (preliminary CAD model);ford021;6.0
Define hinge concept;Develop initial design concept (preliminary CAD model);ford022;4.0
Perform swing study;Develop initial design concept (preliminary CAD model);ford023;2.0
Theme approval for interior and exterior appearance (prelim surf available);Develop initial design concept (preliminary CAD model);ford024;4.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Develop initial design concept (preliminary CAD model);ford025;6.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Develop initial design concept (preliminary CAD model);ford026;2.0
Approve master sections;Estimate blank size;ford027;4.0
Develop initial design concept (preliminary CAD model);Estimate blank size;ford028;6.0
Define hinge concept;Estimate blank size;ford029;4.0
Theme approval for interior and exterior appearance (prelim surf available);Estimate blank size;ford030;4.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Estimate blank size;ford031;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Estimate blank size;ford032;2.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Estimate efforts;ford033;6.0
Select materials for all system components;Estimate efforts;ford034;6.0
Estimate latch loads;Estimate efforts;ford035;1.0
Define hinge concept;Estimate efforts;ford036;2.0
Theme approval for interior and exterior appearance (prelim surf available);Estimate efforts;ford037;2.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Develop initial attachment scheme;ford038;4.0
Select materials for all system components;Develop initial attachment scheme;ford039;2.0
Approve master sections;Develop initial attachment scheme;ford040;6.0
Develop initial design concept (preliminary CAD model);Develop initial attachment scheme;ford041;6.0
Define hinge concept;Develop initial attachment scheme;ford042;6.0
Theme approval for interior and exterior appearance (prelim surf available);Develop initial attachment scheme;ford043;4.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Develop initial attachment scheme;ford044;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Develop initial attachment scheme;ford045;2.0
Evaluate functional performance (analytically);Develop initial attachment scheme;ford046;4.0
Approve master sections;Estimate latch loads;ford047;6.0
Develop initial design concept (preliminary CAD model);Estimate latch loads;ford048;9.0
Theme approval for interior and exterior appearance (prelim surf available);Estimate latch loads;ford049;2.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Estimate latch loads;ford050;2.0
Evaluate functional performance (analytically);Estimate latch loads;ford051;4.0
Select materials for all system components;Cheat outer panel surface;ford052;6.0
Develop initial design concept (preliminary CAD model);Cheat outer panel surface;ford053;6.0
Estimate latch loads;Cheat outer panel surface;ford054;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Cheat outer panel surface;ford055;4.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Define hinge concept;ford056;4.0
Approve master sections;Define hinge concept;ford057;4.0
Perform swing study;Define hinge concept;ford058;2.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Define hinge concept;ford059;3.0
Approve master sections;Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford060;4.0
Develop initial design concept (preliminary CAD model);Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford061;6.0
Estimate blank size;Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford062;6.0
Develop initial attachment scheme;Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford063;6.0
Define hinge concept;Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford064;4.0
Theme approval for interior and exterior appearance (prelim surf available);Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford065;2.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford066;3.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Perform cost analysis (variable and investment);ford067;6.0
Select materials for all system components;Perform cost analysis (variable and investment);ford068;6.0
Approve master sections;Perform cost analysis (variable and investment);ford069;6.0
Develop initial design concept (preliminary CAD model);Perform cost analysis (variable and investment);ford070;6.0
Estimate blank size;Perform cost analysis (variable and investment);ford071;4.0
Develop initial attachment scheme;Perform cost analysis (variable and investment);ford072;3.0
Define hinge concept;Perform cost analysis (variable and investment);ford073;4.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Perform cost analysis (variable and investment);ford074;4.0
Theme approval for interior and exterior appearance (prelim surf available);Perform cost analysis (variable and investment);ford075;4.0
"Marketing commits to net revenue; initial ordering guide available";Perform cost analysis (variable and investment);ford076;4.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Perform cost analysis (variable and investment);ford077;3.0
Approve master sections;Perform swing study;ford078;4.0
Define hinge concept;Perform swing study;ford079;4.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Perform swing study;ford080;6.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Theme approval for interior and exterior appearance (prelim surf available);ford081;4.0
Approve master sections;Theme approval for interior and exterior appearance (prelim surf available);ford082;4.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Theme approval for interior and exterior appearance (prelim surf available);ford083;4.0
Perform swing study;Theme approval for interior and exterior appearance (prelim surf available);ford084;2.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Theme approval for interior and exterior appearance (prelim surf available);ford085;3.0
Theme approval for interior and exterior appearance (prelim surf available);"Marketing commits to net revenue; initial ordering guide available";ford086;4.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Program DVPs and FMEAs complete;ford087;4.0
Select materials for all system components;Program DVPs and FMEAs complete;ford088;4.0
Develop initial design concept (preliminary CAD model);Program DVPs and FMEAs complete;ford089;6.0
Develop initial attachment scheme;Program DVPs and FMEAs complete;ford090;3.0
Define hinge concept;Program DVPs and FMEAs complete;ford091;4.0
Select materials for all system components;Approved theme refined for craftsmanship execution (consistent w/ PA objectives);ford092;4.0
Theme approval for interior and exterior appearance (prelim surf available);Approved theme refined for craftsmanship execution (consistent w/ PA objectives);ford093;4.0
Select materials for all system components;PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford094;4.0
Develop initial design concept (preliminary CAD model);PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford095;3.0
Perform swing study;PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford096;3.0
Theme approval for interior and exterior appearance (prelim surf available);PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford097;6.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford098;6.0
Conduct cube review and get surface buyoff;PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford099;6.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);ford100;4.0
Select materials for all system components;Conduct cube review and get surface buyoff;ford101;4.0
Approve master sections;Conduct cube review and get surface buyoff;ford102;4.0
Theme approval for interior and exterior appearance (prelim surf available);Conduct cube review and get surface buyoff;ford103;2.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Conduct cube review and get surface buyoff;ford104;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Conduct cube review and get surface buyoff;ford105;6.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Conduct cube review and get surface buyoff;ford106;4.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford107;4.0
Approve master sections;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford108;6.0
Develop initial design concept (preliminary CAD model);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford109;9.0
Estimate blank size;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford110;4.0
Develop initial attachment scheme;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford111;6.0
Define hinge concept;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford112;4.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford113;6.0
Theme approval for interior and exterior appearance (prelim surf available);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford114;6.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford115;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford116;4.0
Conduct cube review and get surface buyoff;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford117;3.0
Develop stamping tooling;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford118;4.0
Develop hemming tooling (if applicable);Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford119;4.0
Develop assembly tooling;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford120;4.0
PDN2 - Last Class 1surface verified and released for major formed parts;Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);ford121;1.0
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);Evaluate functional performance (analytically);ford122;4.0
Select materials for all system components;Evaluate functional performance (analytically);ford123;6.0
Develop initial design concept (preliminary CAD model);Evaluate functional performance (analytically);ford124;9.0
Develop initial attachment scheme;Evaluate functional performance (analytically);ford125;6.0
Define hinge concept;Evaluate functional performance (analytically);ford126;4.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Evaluate functional performance (analytically);ford127;4.0
Program DVPs and FMEAs complete;Evaluate functional performance (analytically);ford128;2.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Evaluate functional performance (analytically);ford129;4.0
Select materials for all system components;Iterate from initial design concept to achieve safe design concept;ford130;6.0
Develop initial design concept (preliminary CAD model);Iterate from initial design concept to achieve safe design concept;ford131;9.0
Develop initial attachment scheme;Iterate from initial design concept to achieve safe design concept;ford132;6.0
Estimate latch loads;Iterate from initial design concept to achieve safe design concept;ford133;1.0
Define hinge concept;Iterate from initial design concept to achieve safe design concept;ford134;4.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);Iterate from initial design concept to achieve safe design concept;ford135;4.0
Perform swing study;Iterate from initial design concept to achieve safe design concept;ford136;2.0
Program DVPs and FMEAs complete;Iterate from initial design concept to achieve safe design concept;ford137;2.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);Iterate from initial design concept to achieve safe design concept;ford138;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);Iterate from initial design concept to achieve safe design concept;ford139;4.0
