name;EC(i) ($000);EC(r) ($000);ED(i) (days);ED(r) (% of ED (i));information variability
Strategies for product, mkt, mfg, supply, design and reusability confirmed (Est. PDL);0.0;0.0;0.0;0.0;2.0
Select materials for all system components;0.0;0.0;15.0;0.25;2.0
Select powertrain lineup;0.0;0.0;0.0;0.0;1.0
Freeze proportions and selected hardpoints;0.0;0.0;60.0;0.25;2.0
Verify that hardpoints and structural joint designs are compatible w/ program targets;0.0;0.0;40.0;0.25;2.0
Approve master sections;0.0;0.0;40.0;0.15;2.0
Develop initial design concept (preliminary CAD model);0.0;5.0;40.0;0.5;3.0
Estimate blank size;0.0;0.0;1.0;0.99;2.0
Estimate efforts;0.0;0.0;1.0;0.99;2.0
Develop initial attachment scheme;0.0;5.0;5.0;0.5;3.0
Estimate latch loads;0.0;0.0;5.0;0.99;1.0
Cheat outer panel surface;0.0;5.0;10.0;0.5;2.0
Define hinge concept;0.0;5.0;20.0;0.5;2.0
Get prelim. Mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);0.0;5.0;5.0;0.5;2.0
Perform cost analysis (variable and investment);0.0;0.0;2.0;0.5;2.0
Perform swing study;0.0;5.0;2.0;0.25;1.0
Theme approval for interior and exterior appearance (prelim surf available);0.0;5.0;15.0;0.99;2.0
"Marketing commits to net revenue; initial ordering guide available";0.0;0.0;5.0;0.99;2.0
Program DVPs and FMEAs complete;0.0;0.0;10.0;0.25;1.0
Approved theme refined for craftsmanship execution (consistent w/ PA objectives);0.0;5.0;15.0;0.99;3.0
PDN0 - Interior and exterior Class 1A surfaces transferred to engineering (+/- 0.5mm);0.0;5.0;3.0;0.99;2.0
Conduct cube review and get surface buyoff;10.0;5.0;20.0;0.75;3.0
Verify mfg and asy feas. (form, holes, hem, weld patterns, mastic locations, adhesive);0.0;5.0;10.0;0.5;2.0
Evaluate functional performance (analytically);0.0;5.0;15.0;0.5;2.0
Iterate from initial design concept to achieve safe design concept;0.0;5.0;15.0;0.5;3.0
PDN1 - Release System design intent level concept to manufacturing;0.0;5.0;20.0;0.5;2.0
Develop stamping tooling;6000.0;10.0;420.0;0.1;2.0
Develop hemming tooling (if applicable);500.0;10.0;64.0;0.25;2.0
Develop assembly tooling;1500.0;10.0;100.0;0.25;2.0
PDN2 - Last Class 1surface verified and released for major formed parts;0.0;5.0;20.0;0.5;1.0
PDN3 - Final math 1, 2, & 3 data released;0.0;5.0;20.0;0.5;2.0
CAD files reflect pre-CP verification changes;0.0;5.0;20.0;0.25;2.0
"Make ""like production"" part and asy tools / ergonomics / process sheets (to extent feasible)";100.0;5.0;80.0;0.25;3.0
First CPs available for tuning and durability testing;10.0;5.0;5.0;0.0;2.0
Complete CMM analysis of all end items & subassemblies;0.0;0.0;10.0;0.99;1.0
Perform DV tests (physical);10.0;5.0;20.0;0.99;3.0
Verify manufacturing and assembly process capability;0.0;0.0;5.0;0.99;2.0
Complete prelim. ESO for: CP durability testing;0.0;0.0;15.0;0.99;2.0
Complete prelim. ESO for: Known changes from CP containable for 1PP;0.0;0.0;5.0;0.99;2.0
Complete prelim. ESO for: Initial set of road tests completed;0.0;0.0;30.0;0.99;2.0
Complete prelim. ESO for: Design is J1 level - no further changes except No-Blds;0.0;0.0;5.0;0.99;2.0
Complete prelim. ESO for: Eng. Confidence that objectives will be met declared;0.0;0.0;3.0;0.99;1.0
Supplier commitment to support 1 PP w/ PSW parts;0.0;0.0;3.0;0.99;1.0
Readiness to proceed to tool tryout (TTO), 1PP and Job #1;0.0;0.0;10.0;0.99;0.0
