source;target;energy;information;location;spatial;reason
Fuik Bo;Opstelruimte Bo;0;0;0;1;De Fuik en de Opstelruimte zijn via hun definitie met elkaar verbonden.
Fuik Bo;Bodembescherming voorhaven Bo;0;0;1;0;De Fuik en de Opstelruimte zijn via hun definitie met elkaar verbonden.
Fuik Bo;Oeverbescherming Bo;0;0;1;0;De Fuik is voorzien van damwanden als Oeverbescherming. Deze is niet noodzakelijk voor het functioneren van de Fuik, maar is wel voordelig.
Fuik Bo;Sluishoofd constructie Bo;0;0;0;1;De Fuik en de Sluishoofd constructie zijn doormiddel van hun definitie met elkaar verbonden.
Fuik Bo;Scheepsvaartvoorzieningen;0;0;1;0;De Scheepsvaartvoozieningen (zoals noodtrappen etc.) bevinden zich in de Fuik. De Scheepsvaartvoorzieningen zijn niet noodzakelijk voor het functioneren van de Fuik, maar wel voordelig.
Fuik Bo;Schip;0;0;1;0;De orientatie tussen de Fuik en het Schip is van belang. Met deze interactie wordt dus aangegeven dat het Schip zich in de Fuik kan bevinden.
Fuik Bo;Scheepsvaart tekens;0;0;1;0;De Scheepsvaarttekens bevinden zich in de Fuik om de Schippers van informatie te voorzien.
Fuik Bo;Objectverlichting;0;0;1;0;De Objectverlichting zorgt dat de Fuik goed te zien is s'nachts waardoor het schutproces niet gehinderd wordt.
Opstelruimte Bo;Wachtruimte Bo;0;0;0;1;De Opstelruimte en Wachtruimte zijn vanwege hun definitie met elkaar verbonden.
Opstelruimte Bo;Bodembescherming voorhaven Bo;0;0;1;0;De Bodembescherming van zowel de Voorhaven als de van de Kolk moeten goed aansluiten op de onder- /achterloopheidsschermen om verzakking van het object te voorkomen.
Opstelruimte Bo;Oeverbescherming Bo;0;0;1;0;De Damwanden zijn doorgetrokken tot de Wachtruimte.
Opstelruimte Bo;Scheepsvaartvoorzieningen;0;0;1;0;In de Opstelruimte zijn ook Scheepsvaartvoorzieningen aanwezig.
Opstelruimte Bo;Schip;0;0;1;0;De schepen dienen zich in de Opstelruimte te positioneren als voorbereiding op het schutproces.
Opstelruimte Bo;Scheepsvaart tekens;0;0;1;0;In de Opstelruimte zijn Scheepsvaarttekens aanwezig om het vaarwegverkeer te informeren.
Opstelruimte Bo;Objectverlichting;0;0;1;0;De verlichting van de Wachtruimte zal door de schippers als prettig worden ervaren, echter is deze interactie niet essentieel voor het schutproces.
Wachtruimte Bo;Uitlooplengte Bo;0;0;0;1;De Wachtruimte en Uitlooplengte zijn vanwege hun definitie met elkaar verbonden.
Wachtruimte Bo;Bodembescherming voorhaven Bo;0;0;1;0;De Bodembescherming bevind zich ook in de Wachtruimte.
Wachtruimte Bo;Oeverbescherming Bo;0;0;1;0;De Damwanden zijn doorgetrokken tot de Wachtruimte.
Wachtruimte Bo;Scheepsvaartvoorzieningen;0;0;1;0;In de Wachtruimte bevinden zich ook Scheepsvaartvoorzieningen, deze zijn echter niet strikt noodzakelijk voor het schutproces.
