name;min_duration;mean_duration;max_duration;min_cost;mean_cost;max_cost;improvement_curve
Prepare UCAV Preliminary DR&O;1.9;2.0;3.0;8.6;9.0;13.5;0.35
Create UCAV Preliminary Design Configuration;4.75;5.0;8.75;5.3;5.6;9.8;0.20
Prepare & Distribute Surfaced Models & Internal Drawings;2.66;2.8;4.2;3.0;3.2;4.7;0.60
Perform Aerodynamics Analyses & Evaluation;9.0;10.0;12.5;6.8;7.5;9.4;0.33
Create Initial Structural Geometry;14.25;15.0;26.25;128.3;135.0;236.3;0.40
Prepare Structural Geometry & Notes for FEM;9.0;10.0;12.5;6.8;7.5;9.4;0.33
Develop Structural Design Conditions;7.2;8.0;10.0;10.8;12.0;15.0;0.35
Perform Weights & Inertias Analyses & Evaluation;4.75;5.0;8.75;8.9;9.4;16.4;1.00
Perform S&C Analyses & Evaluation;18.0;20.0;22.0;20.3;22.5;24.8;0.25
Develop Balanced Freebody Diagrams & External Loads;9.5;10.0;17.5;21.4;22.5;39.4;0.50
Establish Internal Load Distributions;14.25;15.0;26.25;21.4;22.5;39.4;0.75
Evaluate Structural Strength, Stiffness, & Life;13.5;15.0;18.75;40.5;45.0;56.3;0.30
Preliminary Manufacturing Planning & Analyses;30.0;32.5;36.0;213.8;231.6;256.5;0.28
Prepare UCAV Proposal;4.5;5.0;6.25;20.3;22.5;28.1;0.7
