name;target;source;binary;probability;impact
ucav0;Create UCAV Preliminary Design Configuration;Prepare UCAV Preliminary DR&O;1.0;0.4;0.5
ucav1;Create UCAV Preliminary Design Configuration;Perform S&C Analyses & Evaluation;1.0;0.2;0.1
ucav2;Prepare & Distribute Surfaced Models & Internal Drawings;Create UCAV Preliminary Design Configuration;1.0;0.5;0.3
ucav3;Prepare & Distribute Surfaced Models & Internal Drawings;Perform Aerodynamics Analyses & Evaluation;1.0;0.4;0.5
ucav4;Perform Aerodynamics Analyses & Evaluation;Prepare UCAV Preliminary DR&O;1.0;0.3;0.4
ucav5;Perform Aerodynamics Analyses & Evaluation;Prepare & Distribute Surfaced Models & Internal Drawings;1.0;0.5;0.8
ucav6;Create Initial Structural Geometry;Prepare UCAV Preliminary DR&O;1.0;0.4;0.1
ucav7;Create Initial Structural Geometry;Prepare & Distribute Surfaced Models & Internal Drawings;1.0;0.5;0.1
ucav8;Create Initial Structural Geometry;Prepare Structural Geometry & Notes for FEM;1.0;0.1;0.1
ucav9;Create Initial Structural Geometry;Perform Weights & Inertias Analyses & Evaluation;1.0;0.1;0.0
ucav10;Create Initial Structural Geometry;Evaluate Structural Strength, Stiffness, & Life;1.0;0.3;0.3
ucav11;Create Initial Structural Geometry;Preliminary Manufacturing Planning & Analyses;1.0;0.1;0.1
ucav12;Prepare Structural Geometry & Notes for FEM;Prepare UCAV Preliminary DR&O;1.0;0.1;0.1
ucav13;Prepare Structural Geometry & Notes for FEM;Create Initial Structural Geometry;1.0;0.4;0.3
ucav14;Develop Structural Design Conditions;Prepare UCAV Preliminary DR&O;1.0;0.4;0.5
ucav15;Develop Structural Design Conditions;Prepare Structural Geometry & Notes for FEM;1.0;0.4;0.8
ucav16;Perform Weights & Inertias Analyses & Evaluation;Prepare Structural Geometry & Notes for FEM;1.0;0.5;0.5
ucav17;Perform Weights & Inertias Analyses & Evaluation;Evaluate Structural Strength, Stiffness, & Life;1.0;0.5;0.5
ucav18;Perform S&C Analyses & Evaluation;Prepare UCAV Preliminary DR&O;1.0;0.4;0.3
ucav19;Perform S&C Analyses & Evaluation;Prepare & Distribute Surfaced Models & Internal Drawings;1.0;0.5;0.3
ucav20;Perform S&C Analyses & Evaluation;Perform Aerodynamics Analyses & Evaluation;1.0;0.5;0.3
ucav21;Perform S&C Analyses & Evaluation;Perform Weights & Inertias Analyses & Evaluation;1.0;0.5;0.3
ucav22;Develop Balanced Freebody Diagrams & External Loads;Perform Aerodynamics Analyses & Evaluation;1.0;0.1;0.1
ucav23;Develop Balanced Freebody Diagrams & External Loads;Prepare Structural Geometry & Notes for FEM;1.0;0.5;0.5
ucav24;Develop Balanced Freebody Diagrams & External Loads;Develop Structural Design Conditions;1.0;0.2;0.4
ucav25;Develop Balanced Freebody Diagrams & External Loads;Perform Weights & Inertias Analyses & Evaluation;1.0;0.1;0.3
ucav26;Develop Balanced Freebody Diagrams & External Loads;Establish Internal Load Distributions;1.0;0.4;0.3
ucav27;Establish Internal Load Distributions;Prepare Structural Geometry & Notes for FEM;1.0;0.5;0.5
ucav28;Establish Internal Load Distributions;Develop Structural Design Conditions;1.0;0.5;0.5
ucav29;Establish Internal Load Distributions;Perform Weights & Inertias Analyses & Evaluation;1.0;0.5;0.3
ucav30;Establish Internal Load Distributions;Develop Balanced Freebody Diagrams & External Loads;1.0;0.5;0.3
ucav31;Evaluate Structural Strength, Stiffness, & Life;Prepare UCAV Preliminary DR&O;1.0;0.4;0.5
ucav32;Evaluate Structural Strength, Stiffness, & Life;Prepare Structural Geometry & Notes for FEM;1.0;0.4;0.3
ucav33;Evaluate Structural Strength, Stiffness, & Life;Develop Structural Design Conditions;1.0;0.5;0.5
ucav34;Evaluate Structural Strength, Stiffness, & Life;Develop Balanced Freebody Diagrams & External Loads;1.0;0.5;0.5
ucav35;Evaluate Structural Strength, Stiffness, & Life;Establish Internal Load Distributions;1.0;0.4;0.5
ucav36;Preliminary Manufacturing Planning & Analyses;Prepare UCAV Preliminary DR&O;1.0;0.5;0.9
ucav37;Preliminary Manufacturing Planning & Analyses;Create Initial Structural Geometry;1.0;0.5;0.9
ucav38;Preliminary Manufacturing Planning & Analyses;Evaluate Structural Strength, Stiffness, & Life;1.0;0.4;0.3
ucav39;Prepare UCAV Proposal;Prepare UCAV Preliminary DR&O;1.0;0.3;0.5
ucav40;Prepare UCAV Proposal;Create UCAV Preliminary Design Configuration;1.0;0.4;0.8
ucav41;Prepare UCAV Proposal;Prepare & Distribute Surfaced Models & Internal Drawings;1.0;0.4;0.8
ucav42;Prepare UCAV Proposal;Perform Aerodynamics Analyses & Evaluation;1.0;0.4;0.8
ucav43;Prepare UCAV Proposal;Create Initial Structural Geometry;1.0;0.4;0.8
ucav44;Prepare UCAV Proposal;Prepare Structural Geometry & Notes for FEM;1.0;0.4;0.8
ucav45;Prepare UCAV Proposal;Develop Structural Design Conditions;1.0;0.4;0.8
ucav46;Prepare UCAV Proposal;Perform Weights & Inertias Analyses & Evaluation;1.0;0.4;0.8
ucav47;Prepare UCAV Proposal;Perform S&C Analyses & Evaluation;1.0;0.4;0.8
ucav48;Prepare UCAV Proposal;Develop Balanced Freebody Diagrams & External Loads;1.0;0.4;0.8
ucav49;Prepare UCAV Proposal;Establish Internal Load Distributions;1.0;0.4;0.8
ucav50;Prepare UCAV Proposal;Evaluate Structural Strength, Stiffness, & Life;1.0;0.4;0.8
ucav51;Prepare UCAV Proposal;Preliminary Manufacturing Planning & Analyses;1.0;0.4;0.8
