name;source;target;kind
aint0;a;c.1.1;incidence
aint1;a;c.2.1;incidence
aint2;a;c.3.1;incidence
aint3;b;c.1.1;incidence
aint4;b;c.2.1;incidence
aint5;b;c.3.1;incidence
aint6;c;c.1.1;incidence
aint7;c;c.2.1;incidence
aint8;c;c.3.1;incidence
aint9;d;c.1.1;incidence
aint10;d;c.2.1;incidence
aint11;d;c.3.1;incidence
aint12;e;c.1.1;incidence
aint13;e;c.2.1;incidence
aint14;e;c.3.1;incidence
aint15;f;c.1.2;incidence
aint16;f;c.2.2;incidence
aint17;f;c.3.2;incidence
aint18;g;c.1.2;incidence
aint19;g;c.2.2;incidence
aint20;g;c.3.2;incidence
aint21;h;c.1.2;incidence
aint22;h;c.2.2;incidence
aint23;h;c.3.2;incidence
aint24;i;c.1.2;incidence
aint25;i;c.2.2;incidence
aint26;i;c.3.2;incidence
aint27;j;c.1.2;incidence
aint28;j;c.2.2;incidence
aint29;j;c.3.2;incidence
aint30;k;c.1.3;incidence
aint31;k;c.2.3;incidence
aint32;k;c.3.3;incidence
aint33;l;c.1.3;incidence
aint34;l;c.2.3;incidence
aint35;l;c.3.3;incidence
aint36;m;c.1.3;incidence
aint37;m;c.2.3;incidence
aint38;m;c.3.3;incidence
aint39;n;c.1.3;incidence
aint40;n;c.2.3;incidence
aint41;n;c.3.3;incidence
aint42;o;c.1.3;incidence
aint43;o;c.2.3;incidence
aint44;o;c.3.3;incidence
aint45;p;c.1.4;incidence
aint46;p;c.2.4;incidence
aint47;p;c.3.4;incidence
aint48;q;c.1.4;incidence
aint49;q;c.2.4;incidence
aint50;q;c.3.4;incidence
aint51;r;c.1.4;incidence
aint52;r;c.2.4;incidence
aint53;r;c.3.4;incidence
